10	500
Fred_Thompson	3	1
Gian_Marco	2	1
Nicolas_Cage	2	1
James_Blake	8	12
Zinedine_Zidane	5	2
Kieran_Prendergast	1	2
David_Beckham	25	24
Orrin_Hatch	2	1
Raquel_Welch	2	1
Sadie_Frost	3	2
Paradorn_Srichaphan	1	10
Paul_ONeill	7	3
Joseph_Estrada	3	4
Patrick_Roy	2	1
William_Donaldson	1	7
OJ_Simpson	2	1
Alejandro_Toledo	16	19
Mariangel_Ruiz_Torrealba	1	2
Filippo_Inzaghi	3	2
Gerry_Parsky	2	1
Charles_Moose	9	6
Phil_Gramm	2	1
Guillermo_Coria	19	9
Jean-Pierre_Raffarin	5	1
Gwendal_Peizerat	3	2
Eunice_Barber	2	1
Cindy_Crawford	2	3
Conchita_Martinez	3	1
Patty_Schnyder	2	1
Magdalena_Maleeva	1	2
GL_Peiris	1	3
Marco_Antonio_Barrera	2	5
Augustin_Calleri	3	4
Carly_Fiorina	1	3
Elsa_Zylberstein	6	2
Bobby_Goldwater	2	1
Luis_Horna	6	3
Rudolph_Giuliani	4	26
Clay_Aiken	3	6
Kim_Jin-sun	2	1
Sebastien_Grosjean	3	1
Charlotte_Rampling	2	1
Olivia_Newton-John	2	1
Dennis_Powell	1	2
Catherine_Deneuve	2	5
Vladimir_Putin	23	12
David_Nalbandian	10	13
Ken_Macha	1	3
Javier_Weber	2	1
Larry_Brown	1	3
Steve_Lavin	5	2
Rogerio_Romero	1	2
Jolanta_Kwasniewski	1	2
Pascal_Quignard	1	2
James_Wolfensohn	1	3
Lim_Dong-won	2	1
Thomas_Birmingham	2	1
Nancy_Sinatra	2	1
Augusto_Roa_Bastos	1	2
Sean_OKeefe	4	1
David_Wolf	1	2
Christopher_Patten	2	1
Matt_Doherty	1	2
Bob_Stoops	7	6
Thomas_Malchow	1	2
Ann_Veneman	6	10
Amanda_Coetzer	1	2
Carmen_Electra	2	4
Lauren_Killian	2	1
Vicente_Fox	22	1
Jim_OBrien	2	3
Lleyton_Hewitt	9	13
Howard_Smith	2	1
Eric_Robert_Rudolph	3	1
Bijan_Darvish	3	2
Roman_Polanski	5	2
Michelle_Yeoh	3	5
Lenny_Wilkens	1	2
Moshe_Katsav	1	4
Harrison_Ford	5	2
Hal_Gehman	4	1
Queen_Rania	2	1
Jose_Manuel_Durao_Barroso	6	2
Dominik_Garcia-Lorido	2	1
Al_Gore	1	8
Roy_Jones_Jr	2	1
George_Voinovich	1	2
Lino_Oviedo	2	3
Jennifer_Garner	3	6
Scott_Peterson	5	2
Ann_Veneman	8	5
George_Roy_Hill	1	2
Shimon_Peres	2	3
Shia_LaBeouf	1	2
Sarah_Jessica_Parker	1	3
Vladimir_Putin	32	9
Daniel_Day-Lewis	1	3
