10	500
James_Kelly	8	10
Bernard_Law	5	3
Jack_Straw	9	10
Peter_Greenaway	1	2
Alexander_Downer	3	4
Carlos_Bianchi	1	2
Colin_Powell	203	25
Dominique_de_Villepin	12	6
Billy_Graham	2	1
Richard_Shelby	2	1
John_McCallum	2	1
Zhang_Wenkang	1	2
Dennis_Hastert	3	6
Larry_Brown	7	3
Carla_Del_Ponte	5	4
Vanessa_Redgrave	3	5
Paul_Wolfowitz	4	10
Gerhard_Schroeder	61	29
John_McCain	4	2
Mike_Holmgren	2	1
Sean_OKeefe	1	3
Donald_Rumsfeld	73	94
Dave_Campo	1	3
Arye_Mekel	2	1
Nelson_Mandela	3	1
James_Wolfensohn	4	3
James_Traficant	3	1
Clint_Eastwood	5	4
Gary_Carter	1	3
Nicholas_Byron	2	1
Jong_Thae_Hwa	2	1
Frank_Griswold	1	2
Francis_Ford_Coppola	1	2
Mikhail_Wehbe	3	2
Leonid_Kuchma	2	3
Tariq_Aziz	5	1
Thabo_Mbeki	2	5
Bobby_Robson	2	1
Pupi_Avati	3	4
Oleksandr_Moroz	2	1
Richie_Adubato	1	2
Ian_McKellen	3	1
Ronald_Reagan	2	1
Shimon_Peres	2	8
Michael_Caine	2	3
Costas_Simitis	6	4
Jorge_Batlle	1	3
Frank_Dunham_Jr	1	2
Jean-Pierre_Raffarin	7	5
Kamal_Kharrazi	4	3
Joseph_Blatter	2	1
Richard_Myers	13	1
Len_Jenoff	1	2
Jack_Nicholson	2	3
Woody_Allen	4	5
Strom_Thurmond	2	3
Toshihiko_Fukui	1	3
Michael_Bloomberg	5	8
Bo_Ryan	2	1
Francis_George	2	1
Pedro_Malan	3	5
Omar_Sharif	2	4
James_Caan	3	2
Jeremy_Greenstock	24	12
Theodore_Tweed_Roosevelt	3	2
Dick_Cheney	4	14
Robert_Duvall	5	7
Colin_Powell	60	165
Dominique_de_Villepin	14	6
Gao_Qiang	1	2
Boris_Berezovsky	1	2
Jiang_Zemin	1	17
Bill_Graham	5	4
Boris_Yeltsin	1	2
Chuck_Yeager	2	1
Bill_Nelson	2	1
Paul_Wolfowitz	7	1
Jeremy_Greenstock	16	1
Dave_Campo	1	2
Abel_Pacheco	3	1
Valery_Giscard_dEstaing	6	4
Sergio_Vieira_De_Mello	1	2
Charles_Mathews	1	2
Augusto_Pinochet	2	1
Stellan_Skarsgard	1	2
Jack_Nicholson	1	2
Augusto_Roa_Bastos	1	2
Alvaro_Noboa	1	2
John_Bolton	10	5
Shimon_Peres	1	6
Alvaro_Noboa	1	3
Franko_Simatovic	2	1
Robert_Duvall	1	8
Prince_Claus	3	2
Nebojsa_Pavkovic	2	1
David_Anderson	3	2
Donald_Rumsfeld	28	108
Jay_Rasulo	1	2
Warren_Buffett	3	2
James_Ivory	1	2
Enrique_Bolanos	2	3
Alan_Greenspan	4	2
William_Martin	1	2
Peter_Harrison	2	1
John_Warner	2	3
Alvaro_Silva_Calderon	1	2
