10	500
Chung_Mong-joon	1	2
Anne_McLellan	2	3
Arturo_Gatti	2	3
Michael_Ballack	2	3
Serena_Williams	35	40
Jorge_Arce	1	2
Shane_Mosley	2	1
Stan_Heath	1	2
Hideki_Matsui	1	2
Nicholas_Tse	2	1
Ray_Allen	1	3
Lisa_Ling	2	1
Michael_Powell	4	2
Claudia_Pechstein	1	3
Dolma_Tsering	1	2
Michael_Powell	5	3
Zhu_Rongji	1	5
Yashwant_Sinha	2	7
Elinor_Caplan	2	1
Saburo_Kawabuchi	2	1
Nelson_Mandela	3	4
Silvio_Fernandez	2	1
Zhu_Rongji	4	9
Atal_Bihari_Vajpayee	14	19
Nicolas_Lapentti	1	2
Alan_Greenspan	5	1
Venus_Williams	13	15
Angela_Bassett	6	1
Hisao_Oguchi	1	2
John_Stallworth	1	2
Milo_Maestrecampo	1	2
Win_Aung	1	4
Carol_Moseley_Braun	1	2
Mian_Khursheed_Mehmood_Kasuri	4	3
Jia_Qinglin	2	1
Hee-Won_Han	1	2
Mian_Khursheed_Mehmood_Kasuri	4	1
Anwar_Ibrahim	1	2
Thaksin_Shinawatra	3	1
Hu_Jintao	12	4
Maria_Soledad_Alvear_Valenzuela	3	4
Gloria_Macapagal_Arroyo	37	36
Karen_Mok	1	2
Halle_Berry	15	16
Jesse_James_Leija	1	2
Annette_Lu	2	1
Dexter_Jackson	1	2
Prince_Naruhito	2	3
Halle_Berry	5	12
Grady_Irvin_Jr	1	2
Ai_Sugiyama	2	1
Jayson_Williams	3	2
Leander_Paes	2	1
Annette_Lu	3	1
Laila_Ali	2	1
Serena_Williams	38	17
Kosuke_Kitajima	2	1
Justin_Guarini	2	1
Luciano_Pavarotti	1	2
Heizo_Takenaka	1	8
Alejandro_Toledo	22	9
Joe_Mantello	2	1
Prince_Naruhito	3	1
Michael_Chang	2	7
Justin_Gatlin	1	2
Anibal_Ibarra	1	2
Hassan_Nasrallah	2	1
Alan_Greenspan	1	2
Sila_Calderon	4	2
Intisar_Ajouri	1	2
Larry_Thompson	2	3
Muhammad_Saeed_al-Sahhaf	1	5
Chanda_Rubin	1	4
Russell_Simmons	5	1
Abdoulaye_Wade	2	1
Queen_Latifah	4	1
Ricardo_Sanchez	1	3
Chung_Mong-hun	1	2
Jeong_Se-hyun	7	3
Alan_Greenspan	1	4
Taha_Yassin_Ramadan	9	15
George_Lopez	5	3
Tim_Duncan	1	2
Stefano_Accorsi	2	1
Alex_Sink	1	2
Tsutomu_Takebe	2	1
George_Foreman	2	1
Jennifer_Rodriguez	2	1
Michael_Powell	3	1
Ai_Sugiyama	2	3
Candie_Kung	4	1
Anne_McLellan	3	1
Maria_Soledad_Alvear_Valenzuela	5	3
Jackie_Chan	1	10
LeBron_James	3	5
Carlos_Quintanilla_Schmidt	2	1
Junichiro_Koizumi	31	44
Binyamin_Ben-Eliezer	7	6
Liu_Mingkang	1	2
Kim_Dae-jung	5	1
Zafarullah_Khan_Jamali	2	1
Habib_Rizieq	5	2
Guillermo_Canas	2	3
Chen_Shui-bian	2	1
Mahathir_Mohamad	11	12
Naoto_Kan	1	3
Claudia_Pechstein	4	2
Michael_Ballack	2	1
Carlos_Ortega	2	3
Choi_Sung-hong	3	2
Michelle_Rodriguez	2	1
Augustin_Calleri	1	3
Maria_Soledad_Alvear_Valenzuela	1	5
Norah_Jones	12	2
Cherie_Blair	4	3
Antonio_Trillanes	1	3
Will_Smith	2	1
Nicanor_Duarte_Frutos	3	6
Taufik_Hidayat	1	2
Ricardo_Sanchez	4	2
Phan_Van_Khai	3	1
Candie_Kung	1	3
Charles_Taylor	4	7
Thabo_Mbeki	3	2
Bernardo_Segura	2	1
Taha_Yassin_Ramadan	2	13
Wen_Jiabao	5	6
Munir_Akram	1	2
Yu_Shyi-kun	1	3
Juan_Pablo_Montoya	3	7
Daniela_Hantuchova	1	2
Jose_Mourinho	1	2
Vincent_Brooks	6	2
Theodore_Tweed_Roosevelt	3	1
Hee-Won_Han	1	3
Muhammad_Ali	8	5
Yukiko_Okudo	1	2
Hootie_Johnson	2	1
Fernando_Gonzalez	7	3
Constance_Marie	1	3
Albert_Costa	5	6
Kalpana_Chawla	2	3
Nicolas_Escude	1	2
Charles_Taylor	6	1
Junichiro_Koizumi	10	56
Norah_Jones	8	6
Chris_Tucker	1	2
Roberto_Carlos	4	3
Mahmoud_Abbas	10	13
Megawati_Sukarnoputri	21	5
George_Lopez	4	3
LeBron_James	3	1
Jesse_Jackson	3	6
Marwan_Barghouthi	1	2
John_Ruiz	1	2
Denise_Johnson	2	1
Tubby_Smith	3	2
Charles_Moose	11	10
Chang_Dae-whan	2	1
Saeb_Erekat	1	2
Halle_Berry	1	9
Hu_Jintao	15	7
Taufik_Hidayat	3	2
Miyako_Miyazaki	1	2
Lucy_Liu	1	4
Larry_Thompson	2	4
Tang_Jiaxuan	11	3
Marcelo_Rios	2	3
George_Roy_Hill	1	2
Aung_San_Suu_Kyi	1	2
Chen_Shui-bian	5	4
Lucy_Liu	3	4
Wen_Jiabao	3	12
Junichiro_Koizumi	3	4
Adrian_McPherson	1	2
Thabo_Mbeki	1	2
Dwayne_Johnson	1	2
Thabo_Mbeki	1	4
Jada_Pinkett_Smith	1	2
Yoriko_Kawaguchi	6	3
Juan_Pablo_Montoya	5	4
Roseanne_Barr	1	3
Alimzhan_Tokhtakhounov	2	1
Jong_Wook_Lee	2	3
Adolfo_Rodriguez_Saa	2	1
Tiger_Woods	18	7
Tracee_Ellis_Ross	1	2
Marcelo_Rios	4	5
Kobe_Bryant	2	1
Anne_McLellan	1	2
Joe_Dumars	1	2
Allyson_Felix	4	2
Alejandro_Avila	1	2
Tung_Chee-hwa	4	3
Gerardo_Gambala	1	2
Alejandro_Toledo	3	19
Charles_Taylor	7	9
Phan_Van_Khai	2	3
Sammy_Sosa	2	1
Oprah_Winfrey	1	2
Kim_Dae-jung	4	7
Dalai_Lama	1	2
Alan_Greenspan	5	2
Fujio_Cho	6	1
Phil_Gramm	1	2
Azra_Akin	4	3
Abid_Hamid_Mahmud_Al-Tikriti	1	3
Ray_Nagin	1	2
Al_Sharpton	2	4
Taha_Yassin_Ramadan	9	5
Roseanne_Barr	2	1
Vince_Carter	2	1
Win_Aung	4	2
GL_Peiris	1	3
Tyra_Banks	1	2
LeBron_James	5	4
GL_Peiris	2	3
Russell_Simmons	1	2
Jo_Dee_Messina	1	2
Atal_Bihari_Vajpayee	6	1
Muammar_Gaddafi	2	1
Michael_Chang	4	2
Venus_Williams	6	11
Abdoulaye_Wade	4	2
Natalie_Cole	1	2
Kobe_Bryant	3	1
Leland_Chapman	1	2
Alberto_Ruiz_Gallardon	1	2
Michelle_Branch	2	1
Clare_Short	3	4
Megawati_Sukarnoputri	16	24
Denzel_Washington	2	1
Abdullah_al-Attiyah	1	2
Sachiko_Yamada	2	4
Princess_Aiko	2	1
Mahathir_Mohamad	3	5
Mike_Tyson	3	2
Zhu_Rongji	7	3
Yoriko_Kawaguchi	11	9
Junichiro_Koizumi	43	5
Osama_bin_Laden	1	3
Roh_Moo-hyun	1	7
Hosni_Mubarak	2	9
Zhu_Rongji	6	8
Alejandro_Avila	3	2
Tamara_Brooks	2	1
Hosni_Mubarak	3	1
Lim_Dong-won	1	2
Michelle_Yeoh	4	3
Ranil_Wickremasinghe	2	3
Naomi_Campbell	2	1
Reggie_Miller	1	2
Wang_Yi	1	2
Oprah_Winfrey	1	4
Marcelo_Salas	1	2
Allyson_Felix	4	3
Michelle_Yeoh	5	1
Morgan_Freeman	2	1
Mike_Tyson	4	3
Chen_Shui-bian	3	5
Kelvin_Sampson	3	1
Mahmoud_Abbas	23	25
Binyamin_Ben-Eliezer	2	3
Albert_Costa	6	4
Hassan_Wirajuda	2	1
Taha_Yassin_Ramadan	12	6
Lee_Hoi-chang	1	4
George_Lopez	4	5
Juan_Valencia_Osorio	2	1
Harbhajan_Singh	2	1
Jefferson_Perez	2	1
Jeong_Se-hyun	7	6
James_Blake	11	12
Nicanor_Duarte_Frutos	4	6
Roger_Clemens	2	1
Alan_Greenspan	5	3
Samira_Makhmalbaf	1	2
Latrell_Sprewell	2	1
Kim_Ryong-sung	10	5
Hosni_Mubarak	6	3
Ruben_Studdard	2	1
Win_Aung	2	1
Michael_Ballack	3	1
Sally_Ride	2	1
Aldo_Paredes	2	1
Tracy_McGrady	2	1
Habib_Rizieq	4	1
Vivica_Fox	2	1
Jackie_Chan	6	7
John_Allen_Muhammad	10	6
Jeong_Se-hyun	6	1
Vicki_Zhao_Wei	2	1
Chen_Shui-bian	5	1
LeBron_James	4	1
Russell_Simmons	3	5
Muhammad_Saeed_al-Sahhaf	4	3
Yao_Ming	8	4
Evander_Holyfield	1	2
Sam_Bith	2	1
Nora_Bendijo	1	2
Junichiro_Koizumi	29	17
Halle_Berry	3	4
Laurent_Gbagbo	1	2
Yao_Ming	4	7
Paul_Pierce	1	2
Jong_Thae_Hwa	1	2
Kirk_Johnson	1	2
Tom_Watson	1	3
Darrell_Porter	2	1
Kelli_White	1	2
Lino_Oviedo	3	2
Serena_Williams	48	5
Shaukat_Aziz	2	1
Eileen_Coparropa	1	3
Carlos_Ortega	3	1
Robert_Mugabe	2	1
Roh_Moo-hyun	3	23
OJ_Simpson	1	2
Emmit_Smith	1	2
Thaksin_Shinawatra	6	4
Ashanti	5	3
LeBron_James	5	2
Flor_Montulo	2	1
Brad_Garrett	2	1
Angela_Bassett	2	3
Lee_Hoi-chang	3	1
Kwon_Yang-sook	2	3
Angela_Bassett	6	5
Valentino_Rossi	4	1
Theodore_Tweed_Roosevelt	3	2
Allyson_Felix	1	3
Yoko_Ono	2	6
Angelo_Reyes	2	1
Saparmurat_Niyazov	1	2
Lucio_Gutierrez	9	10
Patrick_Ewing	2	1
Chanda_Rubin	2	1
Arturo_Gatti	1	2
Wen_Jiabao	1	10
Cesar_Maia	2	1
Jose_Viegas_Filho	2	1
Chanda_Rubin	2	4
Tang_Jiaxuan	5	4
James_Blake	7	11
Fernando_Gonzalez	4	9
Martin_Cauchon	1	2
John_Allen_Muhammad	10	2
George_Lopez	5	1
Surakait_Sathirathai	1	2
Carlos_Ghosn	2	1
Taha_Yassin_Ramadan	14	6
Marcelo_Rios	1	5
Sila_Calderon	1	4
Chen_Shui-bian	4	2
Halle_Berry	15	14
Abdel_Nasser_Assidi	2	1
Thaksin_Shinawatra	5	6
Brad_Garrett	4	1
Ashanti	4	2
Eileen_Coparropa	2	3
Luciano_Pavarotti	2	3
Cathy_Freeman	2	1
Condoleezza_Rice	7	6
Kirk_Johnson	2	3
Alejandro_Toledo	16	30
Patti_Labelle	1	3
Mahmoud_Abbas	17	16
Kwon_Yang-sook	1	2
Lee_Hoi-chang	3	2
Michael_Chang	6	4
Johnson_Panjaitan	2	1
Hamid_Karzai	19	10
Annette_Lu	3	2
Marco_Antonio_Barrera	6	4
Masahiko_Nagasawa	1	2
Mukesh_Ambani	3	2
Alexandra_Stevenson	1	2
Yoriko_Kawaguchi	4	3
Taha_Yassin_Ramadan	1	14
Goh_Kun	2	1
Chita_Rivera	1	2
Roh_Moo-hyun	25	22
Jude_Law	2	1
Allen_Iverson	1	2
Taha_Yassin_Ramadan	5	13
Hugo_Chavez	49	41
John_Allen_Muhammad	2	7
Vincent_Brooks	6	3
Zarai_Toledo	1	2
Torri_Edwards	1	2
Jamling_Norgay	2	1
Ranil_Wickremasinghe	1	3
Nicanor_Duarte_Frutos	9	1
Albert_Costa	3	1
Marco_Antonio_Barrera	2	6
George_Lopez	1	2
Gary_Locke	2	1
Kenneth_Evans	1	2
Denzel_Washington	2	4
Osama_bin_Laden	4	3
Antonio_Trillanes	2	3
Mikulas_Dzurinda	2	1
Michelle_Kwan	2	3
Vince_Carter	1	3
Hosni_Mubarak	8	9
Thaksin_Shinawatra	3	6
Eunice_Barber	1	2
