10	250
Lucy_Liu	5	3
Bridgette_Wilson-Sampras	3	2
Natasha_McElhone	1	3
Serena_Williams	3	29
Gloria_Macapagal_Arroyo	27	3
Ozzy_Osbourne	3	2
Kathy_Winters	2	1
Naomi_Campbell	1	2
Carmen_Electra	2	6
Monique_Garbrecht-Enfeldt	1	3
Margaret_Thatcher	1	2
Reese_Witherspoon	2	1
Alicia_Silverstone	2	1
Marissa_Jaret_Winokur	2	1
Arantxa_Sanchez-Vicario	2	1
Julie_Gerberding	10	1
Jacqueline_Obradors	2	1
Evan_Rachel_Wood	2	1
Salma_Hayek	8	4
Vanessa_Incontrada	4	3
Martha_Beatriz_Roque	2	1
Raquel_Welch	1	2
Flavia_Delaroli	2	1
Vincent_Gallo	2	1
Candice_Bergen	1	3
Carolyn_Dawn_Johnson	1	2
Janet_Napolitano	4	1
Paris_Hilton	1	2
Corinne_Coman	1	2
Nancy_Pelosi	15	1
Vanessa_Williams	2	1
Doris_Schroeder	3	1
James_Ivory	2	1
Gwyneth_Paltrow	6	1
Susan_Collins	1	2
Lynne_Cheney	1	3
Megan_Mullally	3	2
Demi_Moore	1	2
Zarai_Toledo	2	1
Julianne_Moore	3	13
Faye_Dunaway	2	1
Elisabeth_Schumacher	2	1
Elsa_Zylberstein	5	6
Geraldine_Chaplin	2	1
Vanessa_Incontrada	1	2
Ozzy_Osbourne	3	1
Courtney_Love	2	1
Rebecca_Romijn-Stamos	1	4
Natalie_Cole	1	2
Emily_Robison	2	1
Paula_Zahn	1	2
Cameron_Diaz	3	5
Patricia_Heaton	2	1
Nathalie_Baye	1	4
Faye_Dunaway	3	1
Nancy_Pelosi	3	4
Kristanna_Loken	5	2
Megawati_Sukarnoputri	10	18
Britney_Spears	3	10
Anne_Krueger	3	1
Edwina_Currie	3	2
Carly_Fiorina	3	2
Ann_Veneman	3	10
Robert_Evans	1	3
Roseanne_Barr	3	1
Sonia_Gandhi	4	2
Maria_Shriver	7	1
Laura_Bush	30	4
Rosemarie_Stack	2	1
Ludivine_Sagnier	1	3
Pamela_Anderson	5	1
Jessica_Lange	2	1
Angela_Lansbury	1	2
Monica_Lewinsky	2	3
Jessica_Lynch	1	2
Martha_Lucia_Ramirez	2	1
Rachel_Hunter	4	3
Eliane_Karp	4	3
Elizabeth_Taylor	1	2
Heidi_Klum	2	3
Heather_Mills	2	1
Coretta_Scott_King	3	1
Diana_Munz	3	1
Oprah_Winfrey	2	3
Anastasia_Myskina	1	2
Kwon_Yang-sook	3	1
JK_Rowling	5	1
Mary_Carey	4	2
Aung_San_Suu_Kyi	1	2
Marie-Reine_Le_Gougne	1	2
Julia_Tymoshenko	2	1
Mariangel_Ruiz_Torrealba	2	1
Mary_Tyler_Moore	1	2
Queen_Latifah	1	2
Lauren_Killian	2	1
Arsinee_Khanjian	1	2
Cristina_Fernandez	2	1
Sheryl_Crow	1	5
