10	500
Yukiko_Okudo	1	2
Tom_Watson	3	2
Hamid_Karzai	6	14
Alejandro_Toledo	39	34
Binyamin_Ben-Eliezer	3	4
Condoleezza_Rice	10	8
Bulent_Ecevit	5	2
GL_Peiris	3	4
Li_Zhaoxing	8	6
Guillaume_Soro	1	2
Aung_San_Suu_Kyi	2	1
Lionel_Richie	2	1
Annette_Lu	1	3
John_Allen_Muhammad	6	10
Mahmoud_Abbas	14	3
Norah_Jones	12	10
Juan_Valencia_Osorio	1	2
Anne_McLellan	1	2
Evander_Holyfield	2	1
Paul_Pierce	2	1
Kosuke_Kitajima	1	2
Leonard_Hamilton	1	2
Tracee_Ellis_Ross	1	2
Arturo_Gatti	1	3
Kim_Ryong-sung	9	1
John_Ruiz	1	2
Derek_Lowe	1	2
Roger_Clemens	2	1
Darrell_Porter	2	1
Chen_Shui-bian	3	4
Oprah_Winfrey	4	3
Fernando_Gonzalez	1	8
Justine_Henin	1	2
Jose_Mourinho	1	2
Thabo_Mbeki	1	2
Justin_Gatlin	1	2
Lennox_Lewis	3	1
Allyson_Felix	3	1
Nicholas_Tse	2	1
Ashanti	4	2
Stan_Heath	1	2
Li_Zhaoxing	4	5
Naoto_Kan	4	3
Mahmoud_Abbas	15	14
Ben_Curtis	2	1
Chen_Shui-bian	4	1
Angela_Bassett	5	2
Jo_Dee_Messina	1	2
Marcelo_Salas	1	3
Thabo_Mbeki	3	2
Lennox_Lewis	3	2
Roh_Moo-hyun	28	6
Chen_Shui-bian	3	1
Choi_Sung-hong	1	2
Alex_Sink	1	3
Stanley_Tong	2	1
Claudia_Pechstein	1	5
Chang_Dae-whan	2	1
Vincent_Brooks	2	1
Susilo_Bambang_Yudhoyono	2	4
Roberto_Carlos	1	2
Tracy_McGrady	2	1
Tiger_Woods	12	14
Sammy_Sosa	2	1
George_Foreman	2	1
Binyamin_Ben-Eliezer	4	7
Robby_Ginepri	2	1
Hugo_Chavez	35	47
Coretta_Scott_King	3	2
Jean-Francois_Pontal	2	1
Charles_Taylor	6	5
Ricardo_Sanchez	6	3
Fernando_Gonzalez	4	9
Maria_Soledad_Alvear_Valenzuela	4	2
Anwar_Ibrahim	1	2
Alan_Greenspan	1	4
Norodom_Sihanouk	1	2
Wu_Yi	2	3
Marcelo_Salas	2	3
Latrell_Sprewell	1	2
Hamid_Karzai	11	1
Vince_Carter	2	1
Russell_Simmons	5	2
Hichiro_Naemura	1	2
Serena_Williams	51	14
Abdoulaye_Wade	2	4
Jeong_Se-hyun	7	4
Carlos_Ruiz	2	3
Condoleezza_Rice	2	1
Augustin_Calleri	1	2
Saeb_Erekat	1	2
Norah_Jones	5	11
Russell_Simmons	5	4
Shane_Mosley	1	2
