10	500
Madonna	3	5
Hu_Jintao	1	8
Mike_Scioscia	1	2
Charles_Mathews	2	1
Jean-David_Levitte	1	9
Jacques_Chirac	36	51
Pedro_Malan	2	3
Owen_Wilson	2	1
Yukiko_Okudo	2	1
Mick_Jagger	3	1
Joe_Lieberman	7	11
Bridget_Fonda	3	2
Mariah_Carey	4	5
John_Edwards	7	4
Lynn_Abraham	1	2
Michael_Patrick_King	1	2
Arianna_Huffington	1	2
Abdel_Nasser_Assidi	1	2
Demi_Moore	2	3
Michael_Powell	3	1
Leonard_Hamilton	2	1
Thomas_Wyman	1	2
Zoran_Djindjic	3	2
John_Walsh	2	1
Kevin_Costner	1	7
Zafarullah_Khan_Jamali	2	1
Susan_Collins	1	2
Jean-Claude_Trichet	1	2
Joseph_Biden	3	1
Eve_Pelletier	2	1
Luis_Ernesto_Derbez_Bautista	5	2
John_Wolf	1	2
Matt_Damon	1	2
Tom_Craddick	3	1
Jennifer_Rodriguez	1	2
Nadia_Petrova	3	4
Roy_Jones_Jr	2	1
Elisabeth_Schumacher	2	1
Carol_Burnett	2	1
John_Edwards	6	8
Dennis_Hastert	2	3
Monica_Lewinsky	2	3
Maria_Luisa_Mendonca	1	2
Tom_Cruise	8	3
Aldo_Paredes	2	1
Monica_Bellucci	4	1
Martha_Beatriz_Roque	2	1
Rick_Barnes	2	1
Garry_Trudeau	2	1
Hosni_Mubarak	1	4
Ron_Dittemore	3	7
Fred_Funk	2	1
Diana_Krall	3	2
Kate_Hudson	3	9
Anne_McLellan	1	3
Kamal_Kharrazi	2	3
Mohammad_Khatami	7	4
Charles_Schumer	1	2
Sally_Kirkland	1	4
James_Franco	1	2
Patti_Labelle	3	1
George_Pataki	1	4
Prince_Charles	4	3
Carla_Myers	2	1
Jason_Lezak	1	2
Queen_Beatrix	1	2
Frank_Griswold	2	1
Coretta_Scott_King	2	3
Martina_Hingis	2	3
Inam-ul-Haq	1	2
Julianne_Moore	15	19
Kathy_Winters	2	1
Catherine_Deneuve	2	4
Hannah_Stockbauer	1	2
Jean-Pierre_Raffarin	7	1
Christopher_Reeve	1	3
Muhammad_Saeed_al-Sahhaf	2	4
Evan_Rachel_Wood	3	2
Olesya_Bonabarenko	1	2
Stan_Heath	2	1
Jia_Qinglin	2	1
Hilmi_Ozkok	2	1
Laurent_Gbagbo	2	1
Choi_Sung-hong	3	5
Hamid_Karzai	3	11
Angelina_Jolie	12	20
Vanessa_Williams	3	1
Dennis_Kucinich	6	4
Rob_Lowe	2	3
Chanda_Rubin	3	5
John_Brady	1	2
Juan_Ignacio_Chela	3	1
Michael_Kostelnik	1	2
John_Paul_II	8	9
John_McCallum	1	2
Nicolas_Cage	1	2
Bill_Belichick	1	2
Keanu_Reeves	4	5
Yuri_Malenchenko	1	2
Phil_Gramm	2	1
James_Traficant	2	1
Steve_Lavin	3	4
Fernando_Henrique_Cardoso	7	4
Terry_Stotts	1	2
Ana_Palacio	3	8
John_Cusack	1	2
Tim_Curry	2	1
Elizabeth_Hurley	3	1
Sarah_Michelle_Gellar	2	1
Jennifer_Keller	2	4
Matt_Damon	4	2
Augustin_Calleri	4	1
Mark_Wahlberg	3	2
Carson_Palmer	4	3
Clay_Aiken	1	5
John_Paul_II	3	7
Gerhard_Schroeder	35	59
Rick_Carlisle	3	4
Mathias_Reichhold	1	3
Tony_Shalhoub	4	1
Mahmoud_Abbas	23	14
Lleyton_Hewitt	28	34
Hermann_Maier	2	1
Fran_Drescher	1	2
Bill_Frist	9	1
Benazir_Bhutto	1	3
Frank_Solich	2	4
Dennis_Erickson	2	1
Wen_Jiabao	11	7
Nebojsa_Pavkovic	1	2
Rudolph_Giuliani	20	26
Pete_Sampras	21	3
Gwendal_Peizerat	3	1
Steve_Waugh	1	2
Bill_Parcells	2	1
Mohammad_Khatami	8	5
Joan_Laporta	4	5
Dino_de_Laurentis	2	1
Larry_Bowa	2	1
Joschka_Fischer	5	2
Princess_Caroline	2	5
Benjamin_Netanyahu	1	5
Christopher_Reeve	4	1
Maggie_Smith	2	1
Ari_Fleischer	10	1
Goldie_Hawn	4	3
James_McGreevey	1	3
Steve_Lavin	5	3
Colin_Powell	209	148
OJ_Simpson	1	2
Reese_Witherspoon	3	2
Caroline_Kennedy	3	2
Arnoldo_Aleman	1	5
Edmund_Stoiber	3	12
William_Ford_Jr	5	3
Steve_Spurrier	1	2
Eliane_Karp	4	1
Nora_Bendijo	1	2
Will_Smith	1	2
Katie_Harman	2	3
Juan_Carlos_Ferrero	1	6
Venus_Williams	10	12
Alicia_Silverstone	2	1
Lisa_Marie_Presley	3	4
Jean_Chretien	21	23
Gray_Davis	7	16
Markus_Naslund	1	2
Abdullah_Gul	16	5
Jessica_Lynch	2	1
Lucy_Liu	1	3
Larry_Brown	4	3
Sergio_Garcia	2	1
Jack_Nicholson	2	3
Anwar_Ibrahim	2	1
Robert_Fico	1	2
Ed_Smart	3	2
Alice_Fisher	2	1
George_W_Bush	393	329
Bill_Callahan	1	3
Coretta_Scott_King	3	1
Isabella_Rossellini	2	3
Chris_Cooper	2	1
Lee_Tae-sik	1	2
Liu_Mingkang	2	1
Jay_Leno	3	1
Gray_Davis	14	25
John_Warner	1	2
John_Stallworth	2	1
Mike_Helton	1	2
Paul-Henri_Mathieu	2	3
Ellen_Engleman	2	1
Jack_Straw	10	1
James_Traficant	1	3
Hayley_Tullett	1	2
Robert_Bullock	2	1
Rita_Grande	3	2
Mariah_Carey	4	1
Lars_Von_Trier	1	3
Sharon_Stone	2	3
Holly_Hunter	7	2
Javier_Weber	2	3
Tom_Hanks	2	4
Natalie_Maines	4	1
Winona_Ryder	14	24
Chanda_Rubin	4	5
Magdalena_Maleeva	3	1
Bashar_Assad	2	4
Julianne_Moore	10	5
Thomas_Bjorn	1	2
Junichiro_Koizumi	35	11
Elizabeth_Smart	3	4
Wayne_Ferreira	4	3
Julio_Iglesias_Jr	2	1
Sheila_Wellstone	2	1
David_Stern	2	4
Elvis_Presley	1	2
Arnoldo_Aleman	5	3
Dianne_Feinstein	2	3
Lisa_Ling	2	1
Colin_Farrell	6	4
Sharon_Stone	3	4
Thomas_Birmingham	1	2
