10	500
Rick_Romley	3	2
Colin_Montgomerie	3	2
Bill_Clinton	17	5
Thaksin_Shinawatra	5	4
Ruth_Harlow	2	1
James_Jones	2	1
Franko_Simatovic	2	1
John_Manley	2	6
Gary_Winnick	2	1
Yoriko_Kawaguchi	14	6
Eve_Pelletier	2	1
Kevin_Stallings	1	2
Hanan_Ashrawi	1	2
Michael_Powell	2	5
Michael_Powell	4	2
Pat_Cox	1	2
Sean_Patrick_OMalley	1	3
Aicha_El_Ouafi	3	2
Eddy_Merckx	1	2
Mark_Warner	2	1
Martin_Brodeur	2	1
George_Robertson	7	2
Annette_Lu	3	1
Spencer_Abraham	7	3
Anthony_LaPaglia	2	1
Lou_Piniella	3	1
Lyle_Vanclief	2	1
Robert_Horan	2	1
Paulo_Cesar_Pinheiro	2	1
Tom_Harkin	5	3
Arye_Mekel	1	2
Ronald_Reagan	3	1
Bill_Sizemore	1	2
Colin_Montgomerie	5	2
Jean_Chretien	14	39
Kim_Jong-Il	4	1
Magui_Serna	2	1
Biljana_Plavsic	2	3
Thaksin_Shinawatra	1	6
Blythe_Hartley	1	2
Jose_Sarney	2	1
David_Wells	3	7
Walter_Mondale	7	1
Yuri_Fedotov	2	1
Pedro_Almodovar	7	3
Dino_de_Laurentis	2	1
Amer_al-Saadi	1	4
Robert_Witt	1	2
Omar_Sharif	2	3
Rafael_Ramirez	4	1
Angelo_Reyes	3	2
Amram_Mitzna	1	2
Brian_Cowen	2	1
Bill_Parcells	1	2
Donald_Rumsfeld	119	42
Recep_Tayyip_Erdogan	4	19
Lisa_Raymond	2	1
Bo_Ryan	1	2
Herb_Sendek	1	2
Colin_Montgomerie	2	1
Jerry_Springer	1	3
Rick_Barnes	3	1
Gunter_Pleuger	7	3
Tom_Crean	5	2
Robert_De_Niro	4	5
Herta_Daeubler-Gmelin	1	2
Lech_Walesa	1	2
Alexander_Losyukov	3	1
Nursultan_Nazarbayev	1	2
Richard_Butler	1	2
Margaret_Thatcher	1	2
Akbar_Hashemi_Rafsanjani	1	2
Yoriko_Kawaguchi	1	7
Jeff_Van_Gundy	2	3
Eduard_Shevardnadze	4	5
Tassos_Papadopoulos	2	1
Gro_Harlem_Brundtland	1	2
Inam-ul-Haq	1	2
Paul_Byrd	1	2
Edwin_Edwards	2	3
Bertie_Ahern	5	2
Mike_Martz	7	3
James_Schultz	2	1
James_Morris	2	1
Todd_Haynes	4	3
Ishaq_Shahryar	2	1
