10	500
Denzel_Washington	3	4
GL_Peiris	4	2
Robert_Evans	1	2
Anthony_Fauci	1	2
Jeong_Se-hyun	8	1
Roh_Moo-hyun	15	13
Mark_Philippoussis	2	11
Vanessa_Williams	1	3
Hal_Gehman	2	5
Shane_Warne	1	2
Anne_McLellan	3	1
Emmit_Smith	1	2
David_Anderson	5	2
Amber_Tamblyn	2	1
Michael_Sullivan	1	2
Alejandro_Avila	2	1
David_Myers	2	1
Jerry_Springer	2	1
Jennifer_Capriati	32	19
Yasser_Arafat	4	7
Antonio_Banderas	5	1
Gerhard_Schroeder	64	69
Emanuel_Ginobili	1	4
John_McCain	4	1
Susan_Sarandon	5	3
Leonardo_DiCaprio	3	5
Meryl_Streep	5	3
Fujio_Cho	5	3
Fabrice_Santoro	3	2
John_Negroponte	2	17
Lance_Bass	5	4
Sheryl_Crow	5	1
Jon_Gruden	3	5
Brad_Garrett	4	1
Roberto_Benigni	2	1
Anthony_LaPaglia	2	1
Anastasia_Myskina	1	3
Nancy_Pelosi	12	6
Hitomi_Soga	1	4
Edward_Norton	1	2
Jose_Maria_Aznar	8	2
Jiri_Novak	5	10
Begum_Khaleda_Zia	2	1
Paul_Bremer	11	13
Anthony_Hopkins	1	2
Princess_Anne	2	1
Bridget_Fonda	2	1
Cathy_Freeman	1	2
Stephen_Friedman	1	2
Richard_Norton-Taylor	1	2
David_Wolf	1	2
Hassan_Wirajuda	1	2
Sylvester_Stallone	9	4
Matt_Damon	1	3
Naoto_Kan	3	2
Alexander_Rumyantsev	1	2
Michael_Keaton	2	1
Kemal_Dervis	3	2
Jim_Carrey	1	3
Melissa_Etheridge	2	1
Sonia_Gandhi	1	4
Debra_Messing	3	1
Shimon_Peres	4	6
Jose_Maria_Aznar	17	2
Rainer_Schuettler	5	1
Norm_Coleman	7	2
Conchita_Martinez	1	2
William_Burns	2	1
Ben_Affleck	2	4
Tommy_Thompson	2	8
Paulo_Cesar_Pinheiro	2	1
Jose_Theodore	2	1
Lleyton_Hewitt	35	23
Rafael_Ramirez	4	1
Bob_Colvin	2	1
Peter_Struck	2	3
Elin_Nordegren	1	2
Gregg_Popovich	5	1
Mohammad_Khatami	2	7
Andrew_Niccol	2	1
James_Caan	3	2
Pervez_Musharraf	9	13
Jack_Grubman	1	2
Miguel_Contreras	2	1
Phan_Van_Khai	3	1
Ai_Sugiyama	1	4
Tom_Coverdale	1	2
Tippi_Hedren	1	2
Costas_Simitis	5	3
Jean_Chretien	6	28
Klaus_Zwickel	2	1
Gonzalo_Sanchez_de_Lozada	2	4
Mikhail_Kasyanov	1	3
Sourav_Ganguly	3	5
Justine_Pasek	5	2
Horst_Koehler	3	1
Eduardo_Duhalde	14	8
Miguel_Estrada	2	1
Dick_Clark	2	3
Nancy_Pelosi	4	6
John_Ashcroft	26	46
John_McCormack	1	2
Stephen_Daldry	2	1
Oxana_Fedorova	2	1
Jason_Kidd	5	2
Monica_Bellucci	3	2
Christine_Baumgartner	2	4
Gordon_Campbell	2	1
Elsa_Zylberstein	1	6
Ruth_Harlow	1	2
John_Stockton	3	1
Charles_Moose	8	5
James_McGreevey	2	4
Gao_Qiang	1	2
Donald_Fehr	4	1
Fred_Thompson	2	1
Jimmy_Carter	2	5
Scott_McNealy	1	2
Patrice_Chereau	2	1
Ernie_Fletcher	1	2
Norodom_Sihanouk	3	1
David_Spade	2	1
Muhammad_Saeed_al-Sahhaf	2	5
Mohammad_Khatami	8	1
Alec_Baldwin	3	1
Farouk_al-Sharaa	2	3
Vladimir_Spidla	1	2
Mikhail_Kasyanov	4	1
Vanessa_Redgrave	3	5
Ben_Curtis	3	2
Yashwant_Sinha	1	4
Martina_Hingis	1	3
Julio_Iglesias_Jr	1	2
Jason_Alexander	2	1
Prince_Claus	1	4
Frank_Cassell	1	3
Grant_Hackett	1	4
Chen_Shui-bian	4	5
Al_Gore	6	1
Susan_Sarandon	2	1
Ralph_Lauren	2	1
Roberto_Marinho	2	1
Amanda_Beard	2	1
Jean-Claude_Trichet	2	1
Antonio_Palocci	6	2
Aung_San_Suu_Kyi	1	2
Tiger_Woods	5	8
Sourav_Ganguly	2	5
Tung_Chee-hwa	2	1
Nancy_Sinatra	2	1
Carla_Del_Ponte	4	5
Paul_Gascoigne	1	3
Kirk_Johnson	3	1
Natalie_Coughlin	2	6
Glafcos_Clerides	2	4
Donatella_Versace	2	1
Gian_Marco	3	2
Angela_Merkel	2	3
Elvis_Presley	2	1
Steve_Backley	2	1
Ethan_Hawke	3	4
Roberto_Carlos	4	3
Lili_Taylor	1	2
Benjamin_Netanyahu	5	4
Marilyn_Monroe	1	2
Alexander_Downer	2	4
Bobby_Robson	2	1
Tom_Craddick	3	1
Mireya_Moscoso	2	4
Mike_Weir	4	7
Salma_Hayek	4	10
Frances_Fisher	1	2
Lesley_McCulloch	3	1
Gregory_Hines	1	2
Inam-ul-Haq	2	1
Carrie-Anne_Moss	2	3
Roy_Moore	2	5
Tom_Cruise	5	1
Kjell_Magne_Bondevik	3	2
Billy_Crystal	5	3
Nan_Wang	4	2
Augusto_Roa_Bastos	1	2
David_Stern	4	1
Frank_Solich	4	2
Rupert_Grint	3	1
Dick_Cheney	4	14
Nick_Nolte	1	3
Jia_Qinglin	1	2
Junichiro_Koizumi	23	51
Eunice_Barber	1	2
Sarah_Jessica_Parker	6	3
Mathias_Reichhold	1	2
Naoto_Kan	3	4
Mohammad_Khatami	7	8
Paul_Tagliabue	3	1
Shaukat_Aziz	2	1
Kelly_Clarkson	2	3
Jason_Lezak	2	1
Matt_Damon	2	4
James_Gandolfini	1	3
Kurt_Warner	1	3
Rosemarie_Stack	1	2
Hamid_Karzai	3	22
Lleyton_Hewitt	4	27
Richard_Armitage	1	3
Arturo_Gatti	2	1
Sheryl_Crow	2	6
Christian_Fittipaldi	2	1
Tim_Allen	4	2
Ronaldo_Luis_Nazario_de_Lima	4	3
Megan_Mullally	2	3
Arnold_Schwarzenegger	13	11
Rubens_Barrichello	12	3
Mohammed_Baqir_al-Hakim	1	2
Cesar_Maia	2	1
George_Lopez	4	1
Kofi_Annan	11	2
Naji_Sabri	3	2
Carlos_Moya	16	1
Cherie_Blair	2	4
Arnoldo_Aleman	3	4
Janica_Kostelic	1	2
Jacqueline_Obradors	1	2
Shane_Mosley	2	1
Monique_Garbrecht-Enfeldt	2	3
Cruz_Bustamante	1	3
Alberto_Fujimori	2	1
Robert_Torricelli	2	1
Tom_Watson	1	2
Alex_Barros	2	1
Jay_Leno	2	3
Jeff_Van_Gundy	1	2
Ludivine_Sagnier	5	2
Anne_Krueger	3	1
Greg_Ostertag	1	2
Gisele_Bundchen	1	2
Ed_Rosenthal	1	2
Iva_Majoli	2	1
Tang_Jiaxuan	5	7
John_Travolta	7	1
Garry_Kasparov	1	2
Ellen_DeGeneres	2	1
David_Anderson	4	3
Christina_Aguilera	4	3
Ranil_Wickremasinghe	3	2
Vojislav_Kostunica	2	4
Gregory_Geoffroy	2	1
Butch_Davis	1	2
Angela_Bassett	5	1
Celine_Dion	5	7
Mariana_Pollack	2	1
Ludivine_Sagnier	3	1
Richard_Virenque	6	5
Sean_OKeefe	2	3
Elton_John	5	6
Saddam_Hussein	22	5
Nathan_Lane	1	2
Jose_Canseco	2	3
Mike_Myers	1	2
Jiang_Zemin	4	16
Claire_Danes	2	3
Gray_Davis	16	17
Erin_Runnion	3	2
Joe_Dumars	2	1
Inocencio_Arias	1	2
Pierre_Boulanger	2	1
Liza_Minnelli	3	2
Jeff_Van_Gundy	3	1
Tim_Robbins	1	4
David_Caraway	1	2
Hugh_Grant	8	3
Paul_Bremer	11	20
Bob_Stoops	4	1
Makhdoom_Amin_Fahim	1	2
John_Stockton	1	4
Elizabeth_Dole	4	3
Calista_Flockhart	1	5
Mikhail_Wehbe	1	2
Naomi_Campbell	2	1
Ashton_Kutcher	1	2
Nicolas_Cage	1	2
Ben_Curtis	3	1
Yuri_Fedotov	1	2
Jesse_Jackson	7	3
Ronaldo_Luis_Nazario_de_Lima	3	2
Patricia_Clarkson	3	2
Bernard_Landry	1	2
Mike_Weir	3	11
Richard_Gere	8	1
Scott_Ritter	2	1
Julie_Gerberding	4	13
Carly_Fiorina	2	3
Vojislav_Kostunica	3	1
Vince_Carter	3	1
Rick_Perry	6	2
Dolma_Tsering	2	1
Samuel_Waksal	4	3
Bridget_Fonda	1	3
Matt_Damon	4	1
Prince_Charles	1	2
