10	250
Sue_Wicks	1	2
Angela_Lansbury	1	2
Nancy_Sinatra	2	1
Yoko_Ono	4	2
Jessica_Lange	1	2
Michelle_Yeoh	1	5
Christine_Gregoire	4	2
JK_Rowling	4	5
Elisabeth_Schumacher	2	1
Emma_Thompson	3	1
Brooke_Shields	1	2
Angela_Bassett	2	6
Erika_Harold	5	4
Geraldine_Chaplin	3	1
Susan_Sarandon	5	1
Cecilia_Bolocco	3	1
Laura_Hernandez	2	1
Heather_Mills	1	2
Victoria_Beckham	3	2
Kalpana_Chawla	4	5
Flor_Montulo	1	2
Lynne_Cheney	3	2
Elsa_Zylberstein	6	5
Judi_Dench	2	1
Patti_Labelle	1	2
Denise_Johnson	2	1
Jennifer_Garner	5	11
Brigitte_Boisselier	2	1
Alex_Sink	3	2
Queen_Latifah	4	3
Theresa_May	3	1
Judy_Genshaft	2	1
Britney_Spears	1	13
Rita_Moreno	2	1
Emma_Watson	2	4
Carol_Burnett	2	1
Condoleezza_Rice	8	6
Lauren_Killian	1	2
Barry_Zito	2	1
Jennifer_Garner	1	2
Patricia_Clarkson	3	2
Winona_Ryder	5	7
Julianne_Moore	9	18
Martha_Burk	4	3
Christine_Baumgartner	3	5
Katie_Harman	1	2
Tyra_Banks	2	1
Catherine_Zeta-Jones	4	5
JK_Rowling	6	5
Erika_Christensen	2	1
Calista_Flockhart	1	5
Ludivine_Sagnier	2	4
Evan_Rachel_Wood	3	1
Mary_Carey	1	3
Hilary_Duff	1	2
Evan_Rachel_Wood	2	3
Winona_Ryder	6	22
Natalie_Maines	3	1
Norah_Jones	15	11
Camilla_Parker_Bowles	1	2
Mariangel_Ruiz_Torrealba	2	3
Kristen_Breitweiser	2	1
Lauren_Hutton	1	2
Minnie_Driver	1	2
Jane_Fonda	2	1
Nathalie_Baye	1	3
Kristanna_Loken	1	4
Arantxa_Sanchez-Vicario	2	1
Sally_Kirkland	2	1
Meryl_Streep	10	4
Rosemarie_Stack	2	1
Salma_Hayek	5	4
Anna_Nicole_Smith	2	1
Mary_Landrieu	3	1
Cindy_Crawford	1	3
Katherine_Harris	1	2
Todd_Haynes	1	4
Uma_Thurman	2	3
Tracee_Ellis_Ross	2	1
Carl_Reiner	1	2
Priscilla_Owen	2	1
Carla_Myers	1	2
Desiree_Lemosi	1	2
Vivica_Fox	1	2
Claudia_Pechstein	2	3
Vincent_Gallo	1	3
Angelina_Jolie	12	11
Carlos_Vives	3	1
Kim_Clijsters	7	14
Julie_Gerberding	5	13
Raghad_Saddam_Hussein	1	2
Toni_Braxton	3	1
Jane_Kaczmarek	2	1
Allison_Janney	1	2
Michael_Jackson	5	8
Edie_Falco	1	2
Magdalena_Maleeva	3	1
Eliane_Karp	1	2
Michelle_Kwan	3	6
Geraldine_Chaplin	1	4
Tom_Glavine	2	1
Christine_Ebersole	1	2
Lisa_Marie_Presley	3	4
Zarai_Toledo	1	2
Cindy_Crawford	3	2
Paris_Hilton	2	1
Amanda_Beard	2	1
Natalie_Maines	3	2
Arianna_Huffington	4	1
Ali_Abbas	1	2
Rebekah_Chantay_Revels	1	4
Sharon_Davis	2	1
Catherine_Zeta-Jones	6	5
Nancy_Demme	2	1
Vanessa_Williams	2	1
Elizabeth_Taylor	2	1
Coretta_Scott_King	2	1
Hillary_Clinton	2	6
Diana_Munz	2	1
Aung_San_Suu_Kyi	2	1
Steffi_Graf	4	5
Michelle_Kwan	2	8
Penelope_Ann_Miller	2	1
Anastasia_Myskina	1	3
Olivia_Newton-John	2	1
Julianne_Moore	1	5
Debbie_Reynolds	4	3
Sally_Kirkland	3	2
Amanda_Bynes	2	3
Jennifer_Thompson	2	1
Rita_Wilson	4	1
Michelle_Kwan	2	3
Masahiko_Nagasawa	2	1
Natalie_Coughlin	3	2
George_Roy_Hill	2	1
Hanan_Ashrawi	1	2
Annette_Bening	2	1
Monica_Seles	6	4
Kristanna_Loken	1	5
Rachel_Hunter	2	1
Faye_Dunaway	1	2
Claire_Danes	1	2
Shannon_OBrien	2	1
Nathalie_Baye	4	1
Drew_Barrymore	1	2
Paula_Zahn	2	1
Lynn_Redgrave	2	3
James_Ivory	1	2
Nancy_Reagan	1	2
Sheryl_Crow	7	2
Anne_McLellan	1	3
Donna_Shalala	2	1
Rachel_Hunter	1	4
Elsa_Zylberstein	1	3
Christopher_Reeve	3	4
Amelia_Vega	5	1
Goldie_Hawn	1	7
Magdalena_Maleeva	1	2
Mary-Kate_Olsen	3	1
Barbara_Brezigar	1	2
Dianne_Feinstein	1	2
Hilary_Duff	3	1
Jean_Carnahan	1	2
Patty_Schnyder	2	1
Debra_Brown	2	1
Jessica_Lynch	2	1
Marie-Reine_Le_Gougne	1	2
Chita_Rivera	2	1
Hannah_Stockbauer	2	1
Rebecca_Romijn-Stamos	2	3
Emma_Thompson	1	2
Eve_Pelletier	2	1
Clara_Harris	4	1
Alison_Lohman	2	1
Ai_Sugiyama	3	4
Ellen_Engleman	2	1
Celine_Dion	1	2
Amanda_Bynes	3	1
Ann_Veneman	10	11
Kathryn_Bigelow	2	1
Kim_Clijsters	3	7
Martina_McBride	5	1
Julie_Gerberding	12	15
Coretta_Scott_King	1	3
Monica_Seles	5	4
Madonna	3	1
Naomi_Watts	12	22
Courtney_Love	2	1
Clara_Harris	4	5
Sally_Kirkland	1	3
Rob_Schneider	2	1
Elizabeth_Smart	5	3
Laura_Linney	4	3
Elsa_Zylberstein	5	2
Carlos_Vives	1	4
Elinor_Caplan	2	1
Sophia_Loren	2	1
Penelope_Cruz	1	2
Steffi_Graf	5	1
Gwendal_Peizerat	1	3
Natasha_McElhone	3	2
Patricia_Clarkson	1	2
Emmanuelle_Beart	2	3
Queen_Rania	4	1
Renee_Zellweger	1	10
Elsa_Zylberstein	6	3
Carly_Fiorina	3	1
Emmanuelle_Beart	3	1
Julie_Taymor	1	2
Stephen_Friedman	1	2
Amanda_Coetzer	1	2
Miyako_Miyazaki	2	1
Flavia_Delaroli	2	1
Gillian_Anderson	2	1
Christopher_Reeve	1	3
Isabelle_Huppert	2	1
Julianne_Moore	2	12
Sharon_Stone	1	3
Zhang_Ziyi	1	4
Frances_Fisher	1	2
Megawati_Sukarnoputri	6	15
Martha_Burk	2	3
Sally_Kirkland	4	2
Jennifer_Garner	6	11
Mary_Carey	3	4
Caroline_Kennedy	3	1
Natalie_Cole	2	1
Jean_Brumley	1	2
Jennifer_Reilly	1	2
Nastassia_Kinski	2	1
Vanessa_Redgrave	5	4
Sheila_Copps	1	3
Cate_Blanchett	2	1
Kwon_Yang-sook	3	1
Maggie_Smith	2	1
Marisa_Tomei	2	1
Elizabeth_Dole	3	1
Natalie_Coughlin	1	5
Princess_Aiko	1	2
Christine_Gregoire	3	2
Margaret_Thatcher	1	2
Mireya_Moscoso	2	5
Laura_Bush	8	41
Angelina_Jolie	12	17
Alexandra_Vodjanikova	1	2
James_Kopp	4	2
Elizabeth_Shue	1	2
Robert_Evans	1	2
Bridget_Fonda	3	1
Katherine_Harris	1	3
Anna_Jones	1	Madge_Overhouse	1
Philippe_Noiret	1	Lisa_Marie_Presley	2
Teri_ORourke	1	Janet_Chandler	1
Gabrielle_Rose	1	Barbara_De_Brun	1
Mia_Mottley	1	Rosa_Haywa_de_Condori	1
Naomi_Campbell	1	Elodie_Bouchez	1
Crandall_Bowles	1	Tali_Imani	1
Leslie_Caldwell	2	Angela_Bassett	2
Anastasia_Myskina	2	Gennifer_Flowers	1
Christy_Ferer	1	Susan_Walvius	1
Gina_Gershon	1	Bridget_Fonda	1
Cheryl_Little	1	Richard_Harris	1
Jeri_Ryan	1	Kalpana_Chawla	3
Sofia_Milos	1	Patricia_Clarkson	3
Cyndi_Thompson	2	E_Clay_Shaw	1
Emily_Robison	2	San_Lan	1
Tracee_Ellis_Ross	1	David_Carradine	1
Perri_Shaw	1	Judith_Nathan	1
Lauren_Killian	1	Jeanne_Anne_Schroeder	1
Jennifer_Renee_Short	1	Marta_Dominguz	1
Marieta_Chrousala	3	Gideon_Yago	1
Tori_Amos	1	Franklin_Damann	1
Asmaa_Assad	1	Andy_Wisecarver	1
Noel_Niell	1	Anne_Donovan	1
Carla_Gugino	1	David_Dorfman	1
Calvin_Joseph_Coleman	1	Steffi_Graf	1
Hannah_Stockbauer	1	Elaine_Chao	1
Audrey_Lacroix	1	Linda_Franklin	1
Alexis_Bledel	1	Christian_Lirette	1
Donna_Ralston	1	Phoenix_Chang	1
Tali_Imani	1	Maria_Luisa_Mendonca	1
Catherine_Bell	1	Marina_Hands	1
Patricia_Clarkson	3	Sila_Calderon	3
Billy_Crawford	1	Catherine_Deneuve	2
Prince_Philippe	1	Elisabeth_Welch	1
Ludivine_Sagnier	2	Donna_Morrissey	1
Pham_Thi_Mai_Phuong	1	Carlo_Azeglio_Ciampi	1
Lily_Safra	1	Emmy_Rossum	1
Mary_Hill	1	Drew_Barrymore	1
Margaret_Thatcher	1	Mae_Jemison	1
Naomi_Bronstein	1	Laura_Flessel	1
Lisa_Murkowski	1	Garry_Witherall	1
Norio_Ohga	1	Patti_Labelle	1
Lucy_Liu	5	Dinah_Turner	1
Elena_Bereznaya	1	Mirela_Manjani	1
Lesley_Flood	1	Tracy_Wyle	1
Alyse_Beaupre	1	Laura_Schlessinger	1
Bernice_Wong	1	Nila_Ferran	1
Tali_Imani	1	Jimmy_Smits	1
Michelle_Hofland	1	Nadia_Forte	1
Cheryl_Tiegs	1	Emmanuelle_Jagodsinski	1
Talisa_Bratt	1	Diana_Ross	1
Ann_Godbehere	1	Condoleezza_Rice	7
Amy_Yasbeck	1	Julianna_Margulies	2
Donna_Shalala	2	Caroline_Link	1
Suzie_McConnell_Serio	1	Billy_Gilman	1
Alexandra_Stevenson	3	Christine_Ebersole	1
Ana_Palacio	5	Carla_Tricoli	1
Mary_Maddux	1	Candice_Beatty	1
Rosie_Perez	1	George_Roy_Hill	1
Colin_Cowie	1	Ramona_Rispton	1
Patricia_Johnson	1	Clark_Randt	1
Ham_Pong-sil	1	Grace_Brinell	1
Annette_Bening	1	Benazir_Bhutto	4
Kristy_Curry	1	Imelda_Marcos	1
Carolina_Barco	1	Kathy_Gannon	1
Paddy_Torsney	1	Jennifer_Granholm	1
Ismail_Cem	1	Dolly_Parton	2
Jolanta_Kwasniewski	1	Cindy_Crawford	2
Kim_Gandy	1	Linda_Dano	1
Tessa_Jowell	1	Sherry_Irving	1
Tali_Imani	1	Reese_Witherspoon	2
Suzanne_Torrance	1	Marsha_Sharp	1
Donna_Ralston	1	Madeleine_Albright	3
Colleen_Jones	1	Lawrence_Vito	1
David_Gest	1	Diana_Munz	3
Alexa_Vega	1	Anastasia_Myskina	3
Faye_Dunaway	2	Joanne_Woodward	1
Steven_Van_Zandt	1	Laila_Ali	3
