10	500
Chung_Mong-hun	2	1
James_Cameron	1	2
Nicholas_Tse	2	1
Megawati_Sukarnoputri	32	31
Jose_Sarney	3	1
John_Howard	14	11
Richie_Adubato	1	2
Arnoldo_Aleman	4	5
Robert_Blackwill	1	2
Colin_Powell	19	213
John_Bolton	3	8
Robert_DeFraites	2	1
Mohamed_ElBaradei	2	4
Wang_Yingfan	3	2
Hans_Eichel	1	3
George_Robertson	18	11
Alejandro_Toledo	15	14
Jean-David_Levitte	10	5
Gerry_Adams	8	7
Donald_Pettit	1	3
Albrecht_Mentz	2	1
Ali_Khamenei	2	3
Mahmoud_Abbas	25	29
Tsutomu_Takebe	2	1
Lee_Hoi-chang	1	3
Yoko_Ono	5	4
Alvaro_Silva_Calderon	2	1
Don_Siegelman	3	1
Andrew_Weissmann	2	3
Michael_Keaton	1	2
Hun_Sen	4	3
John_Howard	19	17
John_McCormack	2	1
Phan_Van_Khai	3	2
David_Trimble	5	3
Ruth_Harlow	1	2
Hichiro_Naemura	2	1
Tim_Robbins	4	3
Jean-David_Levitte	7	1
Lee_Soo-hyuck	3	2
Stephen_Ambrose	2	1
Pervez_Musharraf	17	15
Paul_Sarbanes	2	3
Abel_Pacheco	1	2
Claire_Leger	2	1
Jon_Corzine	3	1
Michael_Moore	1	3
Robby_Ginepri	2	1
Yu_Shyi-kun	2	4
Megawati_Sukarnoputri	10	5
Bernard_Law	4	5
Norman_Jewison	2	1
Frank_Dunham_Jr	2	1
John_Howard	14	15
Jorge_Batlle	3	1
Jack_Nicholson	3	1
Tom_Craddick	3	2
Wolfgang_Schuessel	4	1
Marcelo_Ebrard	1	3
Vladimir_Spidla	3	2
Mitoji_Yabunaka	2	1
Mike_Martz	1	2
Laurent_Gbagbo	1	2
Elton_John	5	2
Michael_J_Sheehan	1	2
Adolfo_Aguilar_Zinser	2	1
Jose_Sarney	2	1
James_Traficant	1	3
Jennifer_Reilly	2	1
Carla_Del_Ponte	2	1
Pedro_Malan	5	2
James_Cameron	3	2
John_Taylor	1	2
Jeffrey_Archer	1	2
Marc_Grossman	1	3
Marc_Grossman	4	1
Robert_Bullock	2	1
Joseph_Deiss	3	2
Carla_Del_Ponte	3	1
Anne_McLellan	3	2
Yossi_Beilin	1	2
Tom_Craddick	2	1
Masum_Turker	3	2
Eric_Clapton	1	2
GL_Peiris	4	3
Paul_ONeill	7	8
Christopher_Walken	3	4
Will_Smith	1	2
John_Howard	5	19
Hu_Jintao	1	6
Ernesto_Zedillo	1	2
Martin_McGuinness	4	5
Christopher_Walken	1	2
George_Brumley	1	2
Ozzy_Osbourne	2	1
Enrique_Bolanos	5	3
David_Stern	2	3
Ruth_Dreifuss	2	1
Henrique_Meirelles	1	2
Marcelo_Ebrard	2	3
Mike_Martz	5	1
Fayssal_Mekdad	3	4
Inam-ul-Haq	1	2
Yuri_Fedotov	1	2
Bill_Simon	6	12
Trent_Lott	4	3
Gary_Locke	1	2
Jessica_Lange	1	2
Naji_Sabri	3	2
Frank_Cassell	1	2
Choi_Sung-hong	4	5
Martin_Hoellwarth	2	1
Mahmoud_Abbas	29	27
Mahmoud_Abbas	11	2
David_Hyde_Pierce	2	1
Mian_Khursheed_Mehmood_Kasuri	2	3
Carlos_Bianchi	2	1
Liu_Mingkang	1	2
Jay_Rasulo	2	1
Robert_Evans	1	2
Abel_Pacheco	1	3
Mohamed_ElBaradei	6	3
Mohamed_Benaissa	2	1
James_Maguire	2	1
Jong_Thae_Hwa	1	2
Megawati_Sukarnoputri	16	2
Mahathir_Mohamad	8	14
Choi_Sung-hong	2	3
Abdoulaye_Wade	3	2
John_Banko	2	1
Mahmoud_Abbas	24	26
Trent_Lott	10	7
Ernie_Fletcher	2	1
Larry_Brown	7	3
Arnoldo_Aleman	2	5
Bud_Selig	2	1
Bill_Simon	9	8
Arnaud_Clement	1	2
Gao_Qiang	2	1
Makhdoom_Amin_Fahim	3	1
Annette_Lu	1	2
Guido_Westerwelle	2	1
Lim_Dong-won	2	1
