10	500
Lord_Hutton	1	2
Aitor_Gonzalez	1	2
Howard_Dean	9	6
Scott_Ritter	2	1
Saddam_Hussein	21	1
Victoria_Clarke	5	2
Francisco_Flores	1	2
Al_Gore	7	2
Robert_Duvall	6	3
Fernando_Henrique_Cardoso	6	5
Kirk_Ferentz	1	2
John_Rosa	1	3
Yevgeny_Kafelnikov	3	2
Recep_Tayyip_Erdogan	27	15
Don_Nickles	2	1
David_Caruso	1	2
Jean-Claude_Braquet	2	1
Roberto_Benigni	1	2
Bill_Simon	9	14
John_Negroponte	11	30
Alec_Baldwin	4	3
Michael_J_Sheehan	1	2
Hilmi_Ozkok	2	1
Jamling_Norgay	2	1
Rudolph_Giuliani	19	5
Jennifer_Rodriguez	1	2
John_Allen_Muhammad	10	9
Ricky_Martin	2	1
Scott_Sullivan	2	1
Lars_Von_Trier	1	2
Alberto_Ruiz_Gallardon	2	1
Clay_Aiken	5	2
Mark_Gottfried	2	3
Jake_Gyllenhaal	1	4
Peter_Arnett	1	2
Placido_Domingo	3	1
Luis_Gonzalez_Macchi	2	4
George_Galloway	2	1
Rob_Marshall	5	6
Sergio_Garcia	1	2
John_Brady	1	2
Dan_Morales	3	1
Kevin_Costner	8	6
Christopher_Walken	4	3
Ben_Howland	1	3
David_Leahy	2	1
Gary_Doer	1	2
Prince_Edward	1	2
Keanu_Reeves	9	12
Candie_Kung	3	1
Alec_Baldwin	1	4
Abid_Hamid_Mahmud_Al-Tikriti	1	3
Jim_Hahn	1	4
Frank_Dunham_Jr	1	2
Princess_Anne	1	2
Parris_Glendening	1	2
Johnny_Unitas	2	1
John_McCallum	2	1
Edmund_Hillary	3	2
Hans_Eichel	3	1
Paul_Martin	5	6
Lech_Walesa	1	2
Theo_Epstein	2	1
Andre_Agassi	2	16
Kofi_Annan	12	32
Henrique_Meirelles	1	2
Matt_Damon	2	1
Leonard_Hamilton	1	2
James_Smith	2	1
Hector_Babenco	2	3
Johnny_Tapia	2	3
Andre_Agassi	27	10
David_Heymann	4	5
James_Blake	5	6
Rob_Lowe	4	3
Kurt_Busch	1	2
Rick_Pitino	1	2
Roy_Williams	4	1
Dick_Vermeil	2	1
James_Wolfensohn	2	1
King_Abdullah_II	4	5
Andrew_Bunner	1	2
Glafcos_Clerides	3	4
Vaclav_Klaus	1	2
Brian_Griese	1	2
Jay_Leno	3	1
Richie_Adubato	2	1
Owen_Wilson	1	2
David_Nalbandian	1	12
Tiger_Woods	17	22
Hugh_Grant	8	5
Jerry_Springer	4	3
Vince_Gill	1	2
Frank_Stallone	1	2
Gilberto_Rodriguez_Orejuela	2	4
William_Macy	5	4
Nicolas_Lapentti	1	2
Michael_Capellas	2	1
Tyler_Hamilton	1	2
Steven_Seagal	2	1
Sean_Patrick_OMalley	1	2
Brad_Johnson	4	3
Grant_Hackett	1	3
Andy_Roddick	1	5
Steve_Waugh	1	2
Wayne_Gretzky	4	3
Nicanor_Duarte_Frutos	7	9
Sean_OKeefe	1	2
Dick_Cheney	9	8
Eduardo_Duhalde	14	13
Hans_Blix	31	24
Bill_Graham	5	7
Juan_Carlos_Ferrero	17	3
Moshe_Katsav	3	4
Larry_Bowa	1	2
Dwayne_Johnson	2	1
Antonio_Banderas	1	2
Jose_Mourinho	2	1
Fred_Eckhard	2	1
Edward_James_Olmos	2	1
Robin_McLaurin_Williams	2	1
Joseph_Blatter	2	1
Chick_Hearn	2	3
Jorge_Arce	1	2
Heath_Ledger	4	1
Cesar_Maia	2	1
Leonid_Kuchma	5	1
Harbhajan_Singh	2	1
Vin_Diesel	1	2
Lon_Kruger	2	1
Jake_Gyllenhaal	4	5
Silvio_Berlusconi	32	8
Jose_Canseco	3	1
Roger_Clemens	2	1
Roman_Polanski	1	3
Steve_Ballmer	3	2
Juan_Manuel_Marquez	2	3
Jorge_Valdano	1	2
Freddy_Garcia	2	1
Martin_Cauchon	2	1
Richard_Virenque	6	7
Kevin_Spacey	2	1
Jeong_Se-hyun	6	7
Johnny_Tapia	1	2
William_Donaldson	6	2
John_Paul_II	10	6
James_Traficant	2	1
Jean-Pierre_Raffarin	4	7
Ernie_Fletcher	1	2
Bob_Huggins	3	4
Franz_Fischler	2	4
Justin_Timberlake	4	6
Augustin_Calleri	4	2
Robert_Blake	4	1
Jon_Corzine	3	1
Ben_Glisan	1	2
Mike_Helton	2	1
Alex_Penelas	1	2
Binyamin_Ben-Eliezer	1	5
David_Nalbandian	7	2
Cesar_Gaviria	7	6
Terry_McAuliffe	2	3
Bertie_Ahern	5	3
Ranil_Wickremasinghe	2	1
Rick_Dinse	1	2
Roy_Williams	2	1
Pascal_Quignard	3	2
Mike_Krzyzewski	5	3
Art_Howe	4	2
John_Jumper	1	2
Bijan_Darvish	3	2
Stacy_Dragila	1	2
Frank_Solich	3	1
Larry_Thompson	3	1
Goran_Persson	1	2
Yao_Ming	4	2
David_Kelley	1	2
Roman_Polanski	4	3
Arnoldo_Aleman	2	5
Hosni_Mubarak	9	2
Joschka_Fischer	10	2
Steve_Backley	1	2
Kenneth_Branagh	1	2
Gary_Winnick	2	1
Mark_Hamister	1	2
Joseph_Ralston	2	1
Carla_Del_Ponte	4	3
Phil_Vassar	2	1
Mike_Weir	4	9
Peter_Struck	1	3
James_Franco	1	2
Gregory_Hines	1	2
Clint_Eastwood	2	4
Rod_Blagojevich	2	1
Raoul_Ruiz	1	4
Elijah_Wood	3	2
Jiri_Novak	5	7
Tiger_Woods	14	15
Joseph_Deiss	2	1
Mohamed_ElBaradei	6	7
Max_Mayfield	1	2
Valdas_Adamkus	2	1
Duane_Lee_Chapman	1	2
Gustavo_Kuerten	3	2
Nathan_Lane	2	1
Vicente_Fox	14	19
Andrew_Cuomo	2	1
Leland_Chapman	1	2
Sam_Torrance	3	2
Michael_Chang	6	4
Amram_Mitzna	1	2
David_Beckham	8	20
Pierre_Boulanger	1	2
Tim_Duncan	2	4
Francis_Mer	2	1
Art_Hoffmann	2	1
Sammy_Sosa	1	2
Thomas_Birmingham	1	2
Kofi_Annan	6	1
Jeffrey_Scott_Postell	1	2
Gabriel_Batistuta	2	1
Robert_Bonner	1	3
Johnny_Depp	2	1
Sebastian_Saja	1	3
Doug_Melvin	1	3
Tung_Chee-hwa	3	7
Jason_Kidd	2	6
Jack_Grubman	1	2
Charles_Mathews	1	2
Michael_Sullivan	1	2
Hosni_Mubarak	4	2
Alastair_Campbell	1	5
Bob_Stoops	2	4
Adolfo_Aguilar_Zinser	3	2
Joe_Lieberman	13	2
Geoff_Hoon	5	6
Mark_Dacey	2	1
Phan_Van_Khai	1	2
Keith_Bogans	1	2
Dennis_Erickson	1	2
Sam_Torrance	2	1
Hans_Blix	18	37
Rick_Pitino	3	1
Ricardo_Sanchez	5	2
Jonathan_Edwards	6	2
Dominique_de_Villepin	15	6
John_Taylor	1	2
Biljana_Plavsic	3	2
Billy_Crystal	3	6
Bruce_Weber	2	1
Chen_Shui-bian	1	4
Hugh_Grant	5	9
Doug_Collins	2	1
Robert_Horan	2	1
LK_Advani	2	1
Sergei_Ivanov	4	2
Rod_Stewart	3	2
Nursultan_Nazarbayev	2	1
Luiz_Inacio_Lula_da_Silva	5	17
Arlen_Specter	1	3
Frank_Solich	2	5
Takashi_Sorimachi	1	2
Prince_Harry	1	3
Anibal_Ibarra	3	1
Charles_Grassley	1	2
Tony_Stewart	6	2
Begum_Khaleda_Zia	1	2
David_Coulthard	2	1
Bill_Parcells	2	1
Luciano_Pavarotti	2	1
George_Karl	2	1
Ariel_Sharon	11	40
Jack_Nicholson	2	3
Reggie_Miller	1	2
Claire_Hentzen	1	2
