10	500
Taha_Yassin_Ramadan	9	14
Laura_Linney	3	1
Francisco_Flores	4	3
Daryl_Hannah	1	2
Fernando_Henrique_Cardoso	7	4
Pete_Carroll	2	1
Sharon_Stone	2	5
Carol_Burnett	1	2
Miguel_Estrada	2	1
Sylvester_Stallone	3	4
Sophia_Loren	2	6
Sergio_Vieira_De_Mello	8	7
Frank_Solich	1	3
Charles_Bronson	1	3
Mohamed_ElBaradei	1	2
James_Schultz	2	1
Martha_Bowen	1	2
Halle_Berry	6	4
Tommy_Robredo	2	3
Sally_Kirkland	2	3
Courtney_Love	1	2
Susie_Castillo	1	2
Salma_Hayek	3	9
Melissa_Etheridge	1	2
Alex_Sink	3	1
Milo_Djukanovic	1	3
Ian_Thorpe	7	9
Catherine_Zeta-Jones	5	2
Lino_Oviedo	2	3
Kathleen_Kennedy_Townsend	1	2
Arnoldo_Aleman	1	2
Kathy_Winters	1	2
Ann_Veneman	1	5
Roh_Moo-hyun	8	12
Richard_Butler	1	2
Lindsay_Davenport	18	12
Art_Howe	2	1
Robert_De_Niro	6	2
Rupert_Murdoch	1	2
Ann_Veneman	1	11
Arnold_Palmer	2	1
Jiri_Novak	5	7
Jane_Kaczmarek	1	2
Michael_Chiklis	2	5
Joseph_Ralston	2	1
Franz_Muentefering	1	4
Nadia_Petrova	4	5
Laura_Bush	7	18
Jim_Carrey	3	2
Kent_Rominger	1	2
John_Bolton	15	6
Ronald_Reagan	2	1
Jorge_Castaneda	1	2
Ferenc_Madl	1	2
Parris_Glendening	2	1
John_Travolta	7	4
Charlton_Heston	3	2
Christine_Todd_Whitman	3	4
Bill_Paxton	2	3
Tony_Shalhoub	3	1
Mukesh_Ambani	3	1
Fernando_Vargas	4	3
Salma_Hayek	9	12
Michelle_Rodriguez	1	2
David_Dodge	1	2
Jackie_Chan	10	9
Robert_Zoellick	3	6
Gerard_Depardieu	1	2
Rob_Schneider	2	1
Eddie_Sutton	1	2
Bill_McBride	2	7
Barry_Zito	2	1
Ian_McKellen	1	3
Choi_Sung-hong	4	5
Jason_Alexander	1	2
Howard_Smith	2	1
Michael_Schumacher	2	3
Luciano_Pavarotti	1	3
Charles_Kartman	2	1
Chung_Mong-joon	1	2
Jay_Leno	1	3
Michael_Powell	5	3
John_McEnroe	1	2
Patrick_Ewing	2	1
Orlando_Bloom	1	3
Yukiko_Okudo	2	1
Peter_Harrison	2	1
Monique_Garbrecht-Enfeldt	3	2
Ricardo_Lagos	10	27
Drew_Barrymore	1	2
Elton_John	7	5
Bud_Selig	2	1
Paul_Burrell	1	3
Lee_Hoi-chang	4	2
Prince_Charles	2	5
Thomas_Rupprath	3	2
Benjamin_Netanyahu	1	5
