10	500
Simon_Cowell	1	2
Jelena_Dokic	8	2
Mary_Carey	3	4
William_Ford_Jr	1	6
Aron_Ralston	1	2
Biljana_Plavsic	2	1
Minnie_Driver	1	2
Paul_Tagliabue	4	3
Paul_Tagliabue	3	1
Ludivine_Sagnier	1	4
Ronald_Reagan	1	2
Carolina_Kluft	2	3
Elsa_Zylberstein	3	1
Doug_Collins	2	1
Sarah_Jessica_Parker	2	1
Martin_Brodeur	1	2
Jon_Gruden	4	2
Torri_Edwards	2	1
Steffi_Graf	1	5
Shia_LaBeouf	1	2
Tang_Jiaxuan	3	6
Tony_Shalhoub	1	2
Goran_Persson	1	2
Michael_Douglas	2	5
Roberto_Benigni	2	1
Hitomi_Soga	2	5
Jerry_Regier	4	2
Michelle_Kwan	3	6
Johnny_Carson	1	2
Katie_Harman	1	3
Jennifer_Garner	9	6
Pat_Cox	2	1
Ricardo_Monasterio	1	2
Jose_Serra	6	3
Lyle_Vanclief	2	1
Ernesto_Zedillo	1	2
Jelena_Dokic	1	3
Cesar_Gaviria	4	7
Queen_Rania	4	2
Alexandra_Vodjanikova	1	2
Kim_Dae-jung	8	5
Ben_Howland	1	2
Giuseppe_Gibilisco	4	2
Laura_Bush	9	19
Farouk_al-Sharaa	2	1
Romano_Prodi	6	5
Tom_Daschle	12	7
Monica_Seles	1	2
Jim_OBrien	1	3
Richard_Crenna	1	2
Angelina_Jolie	5	9
Jeremy_Greenstock	3	20
Oxana_Fedorova	2	3
Matt_Damon	2	3
Salma_Hayek	4	2
David_Heymann	4	5
Gary_Forsee	1	2
Halle_Berry	14	1
Hashim_Thaci	1	2
Lee_Hoi-chang	4	1
Ben_Glisan	2	1
Juan_Manuel_Marquez	2	1
David_Spade	2	1
Lee_Hoi-chang	3	4
Betsy_Smith	1	2
Wayne_Ferreira	2	5
Harrison_Ford	12	4
Michelle_Yeoh	3	5
Ana_Guevara	4	1
Jose_Viegas_Filho	2	1
Rick_Perry	6	4
Queen_Latifah	4	3
John_Ashcroft	29	34
Nora_Bendijo	1	2
Nelson_Mandela	2	3
Ian_Thorpe	8	5
Sebastian_Saja	1	3
Bernard_Law	4	2
Dwayne_Johnson	2	1
Paul_Gascoigne	3	2
Angelina_Jolie	20	4
Herb_Sendek	2	4
John_Allen_Muhammad	7	6
John_McCormack	2	1
Peter_Harrison	1	2
Jon_Voight	2	1
Richard_Butler	2	1
Jelena_Dokic	4	6
Luis_Ernesto_Derbez_Bautista	3	2
Gilberto_Rodriguez_Orejuela	4	1
Jennifer_Lopez	6	11
Dolly_Parton	2	1
Alex_Sink	3	1
Kim_Ryong-sung	5	2
John_Abizaid	6	4
Al_Sharpton	7	1
Coretta_Scott_King	3	2
Dick_Cheney	10	13
Zhang_Ziyi	2	1
Shimon_Peres	4	6
Bob_Stoops	3	5
Anneli_Jaatteenmaki	1	2
Lili_Taylor	1	2
Sergey_Lavrov	4	6
Robert_Blake	5	8
Jason_Alexander	1	2
Alan_Mulally	1	2
Masum_Turker	2	1
Rita_Wilson	4	3
Reese_Witherspoon	4	2
Rick_Wagoner	2	1
Susie_Castillo	1	2
Michael_J_Sheehan	2	1
Annette_Bening	1	2
Ellen_Engleman	2	1
Derek_Jeter	4	3
Mike_Myers	3	4
Coretta_Scott_King	2	1
Chok_Tong_Goh	2	1
Michael_Phelps	4	2
Bob_Dole	2	1
Elton_John	1	2
Sepp_Blatter	1	4
John_Stockton	3	2
Nicole_Kidman	3	17
Lee_Jun	2	1
Marilyn_Monroe	2	1
Bobby_Robson	2	1
Hamzah_Haz	2	1
Wesley_Clark	2	1
Carolyn_Dawn_Johnson	1	2
Ana_Guevara	4	5
Strom_Thurmond	3	2
James_Traficant	2	3
Robbie_Williams	3	1
Gil_de_Ferran	5	4
Justin_Guarini	3	2
Kurt_Russell	2	1
Yukiko_Okudo	2	1
Jason_Lezak	1	2
Sam_Mendes	2	1
Ron_Howard	2	1
Carly_Fiorina	2	1
Federico_Trillo	1	3
Ann_Veneman	11	9
Thomas_Wyman	1	2
Chris_Bell	2	1
Lauren_Killian	1	2
Pete_Sampras	15	22
Bill_Paxton	4	2
Toni_Braxton	3	2
John_Rosa	3	1
Pupi_Avati	3	4
Richard_Gere	1	3
Karen_Mok	1	2
Jose_Serra	1	9
Wolfgang_Schuessel	3	1
Howard_Dean	8	10
William_Macy	5	1
John_Mayer	1	2
Darren_Clarke	1	2
Hans_Blix	13	20
Juanes	1	3
Ricardo_Lagos	27	22
Jim_Furyk	1	6
Pete_Carroll	2	1
Bill_Gates	6	12
Valentino_Rossi	5	6
Daisy_Fuentes	1	2
Justine_Pasek	5	2
Warren_Buffett	1	3
Vanessa_Redgrave	2	3
Bono	1	3
Ed_Smart	2	1
Debra_Messing	2	1
Carolyn_Dawn_Johnson	3	1
Mikhail_Youzhny	1	2
John_Taylor	2	1
David_Heymann	5	3
Tammy_Lynn_Michaels	2	1
Nadine_Vinzens	2	1
Lana_Clarkson	2	1
Michael_Bloomberg	10	15
Todd_Haynes	3	2
Michel_Temer	1	2
Joe_Torre	4	3
Miyako_Miyazaki	2	1
Nelson_Mandela	4	1
Norm_Coleman	1	7
Hillary_Clinton	10	14
Toshihiko_Fukui	1	2
Petro_Symonenko	1	2
Jean_Carnahan	1	2
Arianna_Huffington	4	1
Hu_Jintao	5	14
Jiri_Novak	9	1
Jacqueline_Obradors	1	2
Mel_Gibson	2	1
Rebecca_Romijn-Stamos	4	1
Lea_Fastow	2	1
Princess_Aiko	1	2
Aitor_Gonzalez	2	1
Patricia_Clarkson	1	2
Ernie_Fletcher	2	1
Robin_McLaurin_Williams	1	2
Marie-Reine_Le_Gougne	2	1
Chris_Rock	2	1
Patricia_Heaton	2	1
Michael_Keaton	1	2
Venus_Williams	2	10
Rick_Pitino	2	4
Amanda_Coetzer	2	1
Hu_Jintao	4	12
Cindy_Margolis	1	2
Takashi_Sorimachi	2	1
Richard_Myers	16	9
Amanda_Beard	1	2
Hootie_Johnson	1	2
Kenneth_Branagh	2	1
Pat_Burns	1	2
Mariah_Carey	6	1
