10	500
Jose_Serra	3	8
Jia_Qinglin	2	1
Paul_McNulty	1	2
Jean-Francois_Pontal	1	3
Ralph_Klein	2	1
Guy_Hemmings	1	2
Kristen_Breitweiser	3	1
Mike_Montgomery	2	1
Albrecht_Mentz	1	2
Bridgette_Wilson-Sampras	3	2
Jeff_Van_Gundy	2	1
Jay_Leno	1	2
Pascal_Quignard	2	1
Michael_Caine	2	1
Ana_Palacio	5	4
Monica_Seles	6	3
Gary_Bergeron	2	1
Nancy_Demme	1	2
Kim_Clijsters	4	7
Doug_Melvin	2	3
Denzel_Washington	2	1
Gerry_Adams	2	4
Zico	1	2
Mike_Krzyzewski	1	3
Miroljub	2	1
Tim_Floyd	2	1
Justin_Timberlake	3	8
Lech_Walesa	1	2
Mike_Martz	7	6
Steve_Mariucci	2	1
Heinz_Feldmann	1	3
Mary_Landrieu	3	1
Choi_Sung-hong	2	1
Leonard_Hamilton	1	2
Bo_Pelini	1	2
Richard_Haass	2	1
Tim_Henman	15	18
Jonathan_Edwards	8	2
Franz_Fischler	4	3
Ricardo_Sanchez	1	2
David_Heyman	2	1
Thomas_OBrien	7	3
Pedro_Malan	4	5
Mahmoud_Abbas	15	27
Paulo_Cesar_Pinheiro	2	1
Bernardo_Segura	1	2
Abdullah_al-Attiyah	1	3
George_W_Bush	233	64
Kirk_Ferentz	1	2
John_Malkovich	2	1
Eduardo_Duhalde	9	8
Chanda_Rubin	3	5
Hal_Gehman	3	2
Jeffrey_Jones	2	1
Greg_Ostertag	1	2
Carlos_Menem	9	14
Herb_Sendek	4	1
Bertie_Ahern	5	4
Mikhail_Gorbachev	2	1
Mohammed_Al-Douri	1	8
Norodom_Sihanouk	3	2
Margaret_Thatcher	1	2
Tom_Hanks	3	2
Bill_Nelson	2	1
Binyamin_Ben-Eliezer	2	3
Paul_Burrell	11	4
Norm_Coleman	2	6
Peter_Costello	2	1
Ricardo_Maduro	2	1
Dennis_Hastert	5	3
Mike_Myers	1	3
Luis_Figo	1	4
Mark_Wahlberg	3	2
Jean-Claude_Juncker	1	2
Howard_Smith	2	1
Mesut_Yilmaz	2	1
Mark_Richt	3	2
Adam_Sandler	1	4
Martin_Verkerk	1	2
Zhu_Rongji	9	4
John_Malkovich	1	3
Luis_Figo	4	2
Daniela_Hantuchova	1	2
Hans_Eichel	2	1
Hector_Babenco	2	1
Martha_Stewart	1	5
Tiger_Woods	8	23
Andrew_Weissmann	3	1
Tony_Bennett	3	4
Sam_Torrance	3	2
Prince_Willem-Alexander	3	2
Tony_Stewart	6	2
Larry_Coker	1	4
Vidar_Helgesen	2	1
Geoff_Hoon	2	3
Wolfgang_Schuessel	2	1
Martin_McCauley	1	2
Magdalena_Maleeva	3	1
Mitoji_Yabunaka	2	1
Samuel_Waksal	4	2
Eduardo_Duhalde	2	3
George_W_Bush	329	518
Janet_Napolitano	4	3
Adam_Sandler	3	2
Claudia_Pechstein	4	3
Jong_Thae_Hwa	2	1
Imad_Moustapha	1	2
Alejandro_Toledo	22	5
Mick_Jagger	5	1
Paul_Sarbanes	1	3
Eva_Dimas	1	2
Gerry_Adams	6	2
Joschka_Fischer	15	18
John_Snow	6	17
Jimmy_Carter	3	5
Ana_Palacio	8	1
Dave_Campo	2	1
Frank_Dunham_Jr	2	1
Paul_William_Hurley	2	1
Lauren_Killian	1	2
John_Wolf	1	2
Bulent_Ecevit	2	3
Gary_Locke	2	1
Fidel_Castro	11	1
James_Butts	2	1
Robert_Kocharian	5	3
Tommy_Franks	2	12
Cesar_Maia	2	1
Mike_Brey	1	2
Charles_Grassley	2	1
Michel_Therrien	1	2
John_Bolton	10	12
George_Galloway	3	2
Oswaldo_Paya	5	3
Antonio_Palocci	4	5
Kim_Jong-Il	4	2
Saburo_Kawabuchi	2	1
Gary_Carter	2	1
Mohammed_Al-Douri	1	10
Dennis_Kozlowski	1	2
Gene_Robinson	2	1
George_Robertson	20	14
David_Caruso	2	1
John_Blaney	2	1
Philippe_Noiret	1	2
Richard_Crenna	1	2
Robbie_Williams	2	1
Todd_Haynes	4	2
Monica_Seles	4	2
Adolfo_Rodriguez_Saa	2	1
Sebastien_Grosjean	4	3
Butch_Davis	2	1
Spencer_Abraham	2	13
Mathias_Reichhold	3	1
Ken_Watanabe	1	2
John_Reilly	1	2
Sam_Mendes	1	2
Mack_Brown	1	2
Joseph_Ralston	1	2
Rita_Grande	1	3
Paul_Pierce	1	2
Heath_Ledger	1	4
Paul_Bremer	9	12
Steffi_Graf	1	2
Ben_Curtis	1	2
Al_Gore	5	1
Gunter_Pleuger	4	3
Paul_ONeill	7	4
Fabrice_Santoro	1	3
Emmit_Smith	2	1
John_Paul_II	10	9
Nadia_Petrova	2	4
Richard_Virenque	4	1
Carlos_Ruiz	2	3
Richard_Gephardt	5	7
Joschka_Fischer	8	10
Paul_Wolfowitz	3	9
Li_Zhaoxing	5	6
Rolandas_Paksas	2	1
Amelie_Mauresmo	13	11
Silvan_Shalom	6	5
Thaksin_Shinawatra	1	6
Jefferson_Perez	1	2
Carlos_Ghosn	2	1
Abdullah_Gul	13	14
Alvaro_Silva_Calderon	1	3
Marc_Grossman	1	2
James_McGreevey	4	2
Keith_Bogans	2	3
Vladimir_Putin	46	31
Bruce_Weber	2	1
Lee_Soo-hyuck	3	1
Michael_Sullivan	1	2
Gilberto_Rodriguez_Orejuela	2	3
Mike_Babcock	1	2
Kiki_Vandeweghe	2	1
Tony_Blair	10	66
Franz_Fischler	1	2
Tang_Jiaxuan	7	1
John_Travolta	6	4
Pierre_Pettigrew	1	2
Lee_Jun	1	2
Rick_Barnes	2	1
Adolfo_Aguilar_Zinser	3	1
George_Clooney	7	6
Queen_Elizabeth_II	2	8
Jason_Kidd	2	4
Zhang_Wenkang	1	2
Luis_Horna	6	2
Dennis_Erickson	2	1
Brad_Johnson	2	1
Hugo_Chavez	4	56
Alan_Greenspan	4	3
Intisar_Ajouri	3	2
Oscar_De_La_Hoya	2	3
Noelle_Bush	1	4
Harbhajan_Singh	1	2
Theodore_Tweed_Roosevelt	1	2
Ricardo_Monasterio	2	1
Steve_Ballmer	3	1
Saddam_Hussein	20	3
Alan_Greenspan	4	2
Prince_Claus	3	4
Anastasia_Myskina	3	1
Donald_Pettit	3	1
Sammy_Sosa	2	1
Hassan_Nasrallah	1	2
Leslie_Caldwell	2	1
Ethan_Hawke	2	3
Chris_Tucker	1	2
Joseph_Biden	1	5
William_Bulger	3	4
Lee_Hoi-chang	2	1
Edwin_Edwards	1	3
Rick_Romley	3	1
Gary_Winnick	1	2
Phil_Gramm	1	2
Jerry_Regier	2	1
Michael_Kostelnik	1	2
Jean_Brumley	2	1
Eduardo_Duhalde	14	3
Ben_Affleck	6	7
Ai_Sugiyama	5	4
Ian_Thorpe	2	10
Paul_Hogan	1	2
Andy_Roddick	11	6
Carol_Moseley_Braun	1	2
Thaksin_Shinawatra	4	5
Milo_Djukanovic	2	3
Serena_Williams	31	45
Harrison_Ford	4	10
