10	500
Tim_Henman	18	2
Franco_Dragone	1	2
Leonid_Kuchma	6	1
Eve_Pelletier	1	2
Maria_Shriver	1	3
Hannah_Stockbauer	2	1
Martin_Verkerk	3	2
Diana_Krall	3	2
Daisy_Fuentes	1	2
Phil_Vassar	2	1
Lisa_Gottsegen	1	2
Tassos_Papadopoulos	3	2
George_Clooney	3	5
Javier_Weber	2	1
Guillermo_Coria	10	6
Robbie_Fowler	1	2
William_Ford_Jr	7	3
Barrett_Jackman	1	2
Thierry_Falise	2	1
Adam_Sandler	3	4
Tom_Hanks	4	5
Cindy_Margolis	1	2
Calista_Flockhart	2	5
John_Reid	1	3
Alex_Penelas	2	1
Laura_Linney	2	3
Jerry_Falwell	1	2
Lisa_Raymond	2	1
Naji_Sabri	1	3
Patty_Schnyder	4	2
Mel_Brooks	2	1
Al_Gore	5	4
Paul-Henri_Mathieu	3	2
Gloria_Trevi	4	1
Sharon_Frey	2	1
John_Jumper	1	2
Erik_Morales	2	3
Matt_Damon	1	3
George_Pataki	3	1
Luiz_Inacio_Lula_da_Silva	10	6
Silvan_Shalom	4	3
Jean-Claude_Braquet	2	1
Orlando_Bloom	3	2
Emma_Thompson	2	1
Kevin_Stallings	1	2
Erika_Harold	4	2
JK_Rowling	5	6
Doug_Duncan	1	2
Edmund_Stoiber	3	11
Oxana_Fedorova	4	2
Julie_Taymor	1	2
James_Cunningham	2	1
Monica_Lewinsky	2	1
Bob_Huggins	3	4
Justin_Timberlake	3	5
Peter_Greenaway	2	1
Brendan_Hansen	2	1
Lindsay_Davenport	7	21
Joschka_Fischer	5	6
Bill_Frist	9	4
Paul_Sarbanes	2	1
Ana_Guevara	5	2
Marilyn_Monroe	1	2
Orrin_Hatch	1	2
Samuel_Waksal	2	3
John_Wolf	2	1
Carson_Palmer	3	2
Valerie_Harper	2	1
Jesse_Harris	1	2
Luis_Ernesto_Derbez_Bautista	6	1
Tom_Brady	1	2
Herb_Sendek	3	4
Slobodan_Milosevic	2	3
Adam_Sandler	1	3
Joe_Calzaghe	2	1
Hector_Babenco	2	3
Salma_Hayek	8	3
Rick_Carlisle	4	3
LK_Advani	1	2
Liza_Minnelli	1	3
John_Brady	2	1
Jose_Serra	9	7
Patricia_Clarkson	1	3
Amanda_Beard	1	2
Debra_Messing	3	2
Liam_Neeson	2	1
Bob_Stoops	5	3
Raquel_Welch	1	2
Shannon_OBrien	1	2
Roger_Federer	1	10
Dianne_Feinstein	2	1
Bob_Beauprez	1	2
Jeremy_Greenstock	4	10
Adrien_Brody	11	12
Raymond_Odierno	1	2
Anna_Nicole_Smith	2	1
Abdullah	1	4
Martin_Scorsese	1	6
Larry_Bowa	1	2
Martha_Burk	3	2
Britney_Spears	12	10
Anneli_Jaatteenmaki	1	2
Jennifer_Reilly	2	1
Hilary_Duff	1	3
Winona_Ryder	23	24
Lana_Clarkson	2	1
Hector_Babenco	3	1
Tommy_Robredo	3	2
Moshe_Katsav	2	1
Gary_Carter	3	1
Edwina_Currie	1	4
Sam_Mendes	1	2
Javier_Solana	6	5
Pierce_Brosnan	7	13
Jim_Edmonds	1	2
Guillermo_Coria	20	8
Kemal_Dervis	1	2
Jose_Serra	5	9
Nadia_Petrova	4	1
Tom_Crean	2	4
Blythe_Hartley	2	1
Rick_Pitino	4	1
Claire_Hentzen	1	2
Elijah_Wood	1	2
Mike_Krzyzewski	1	2
Michael_Capellas	2	1
Bill_Frist	5	8
Doug_Collins	2	1
Vladimir_Voltchkov	1	2
Isabella_Rossellini	2	1
Conchita_Martinez	3	2
Gordon_Campbell	2	1
Jose_Manuel_Durao_Barroso	6	3
Glafcos_Clerides	4	1
Mary-Kate_Olsen	2	3
Amber_Tamblyn	1	2
Francis_Ford_Coppola	2	1
Richard_Shelby	2	1
Natasha_McElhone	3	2
Jim_Furyk	2	5
Dominik_Garcia-Lorido	1	2
Simon_Cowell	2	1
Jan-Michael_Gambill	1	3
Nick_Nolte	5	2
Roy_Moore	1	3
Prince_Willem-Alexander	3	2
Patrick_Stewart	1	2
Jennifer_Aniston	5	7
Jim_Hahn	2	1
Nanni_Moretti	1	2
Akhmed_Zakayev	1	2
Elisabeth_Schumacher	2	1
Paul_Burrell	8	1
Johnny_Depp	1	2
Salma_Hayek	9	13
Frank_Solich	5	1
Carla_Myers	2	1
Michelle_Pfeiffer	2	3
Tommy_Franks	3	10
Rick_Santorum	2	1
David_Spade	1	2
Martin_Verkerk	2	1
David_Dodge	1	2
Rick_Pitino	2	1
Hitomi_Soga	2	4
Jennifer_Capriati	6	32
Gene_Robinson	4	3
Jeremy_Greenstock	3	16
Hilary_Duff	3	2
Padraig_Harrington	3	1
Madonna	1	4
Ian_McKellen	2	1
Hector_Babenco	1	2
Aaron_Sorkin	2	1
Queen_Beatrix	2	3
Rudolph_Giuliani	11	20
Marcelo_Ebrard	2	3
Angelina_Jolie	19	1
Ariel_Sharon	25	45
Steve_Park	2	1
Alexander_Downer	3	2
Jessica_Lange	1	2
Oleksandr_Moroz	2	1
Frank_Dunham_Jr	1	2
Noah_Wyle	2	3
Amanda_Bynes	1	2
Zinedine_Zidane	6	3
Ben_Howland	1	3
Trent_Lott	16	4
Jose_Sarney	3	2
Ariel_Sharon	16	3
Kemal_Dervis	3	1
Rachel_Hunter	2	1
Queen_Elizabeth_II	5	7
Mark_Hamister	2	1
John_Reilly	1	2
Robert_Witt	1	2
Kristen_Breitweiser	1	2
Jim_Tressel	2	1
Eva_Dimas	2	1
Dennis_Hastert	4	6
Brian_Heidik	2	1
Colin_Montgomerie	3	4
Oswaldo_Paya	1	2
John_McEnroe	2	1
Antonio_Palocci	7	1
Juergen_Peters	1	2
Frank_Cassell	3	2
Ari_Fleischer	4	1
Bijan_Namdar_Zangeneh	1	2
Gene_Robinson	3	1
Tim_Robbins	4	1
Richard_Virenque	5	2
Alvaro_Uribe	30	23
Javier_Solana	7	10
Mike_Scioscia	2	1
Heidi_Klum	4	1
Joan_Laporta	1	6
Gilberto_Rodriguez_Orejuela	1	4
Andre_Agassi	8	29
John_Travolta	2	1
Richie_Adubato	1	2
Leon_LaPorte	2	1
Sergey_Lavrov	10	11
Robbie_Williams	1	3
Sam_Torrance	1	3
Kathryn_Bigelow	1	2
Vaclav_Klaus	2	1
Vladimir_Spidla	1	2
Silvia_Farina_Elia	2	1
John_Snow	10	7
Michel_Duclos	2	1
Ralph_Klein	2	1
Michael_Winterbottom	2	1
Rob_Marshall	1	4
Sourav_Ganguly	5	4
George_W_Bush	174	80
Pete_Sampras	12	4
Howard_Smith	2	1
Tim_Floyd	1	2
Dennis_Erickson	1	2
Tony_Curtis	1	2
Peter_Arnett	1	3
Dolly_Parton	2	1
Donald_Fehr	2	1
Hal_Gehman	1	3
Sally_Field	4	1
Alec_Baldwin	1	2
Julia_Tymoshenko	3	2
Steven_Spielberg	5	6
Dino_de_Laurentis	2	1
Patrice_Chereau	1	2
Eduardo_Duhalde	14	1
Tim_Robbins	4	5
Thomas_OBrien	4	6
Justin_Timberlake	8	7
Arye_Mekel	2	1
Richard_Butler	1	2
Ciro_Gomes	1	5
Joe_Gatti	1	2
Grant_Hackett	5	1
Hilmi_Ozkok	2	1
Cecilia_Bolocco	3	1
Ray_Romano	9	3
Bob_Hope	2	6
David_Heymann	2	1
Laurent_Jalabert	1	2
Elin_Nordegren	2	1
Tom_Harkin	3	2
Reese_Witherspoon	1	3
Megan_Mullally	1	2
Jacques_Chirac	12	36
David_Nalbandian	3	14
Alvaro_Uribe	18	35
Elijah_Wood	2	3
Jay_Leno	3	1
Marieta_Chrousala	1	2
Jean-David_Levitte	6	1
Jay_Leno	3	2
Michael_Phelps	3	2
Philippe_Noiret	1	2
Gray_Davis	12	25
Joseph_Ralston	2	1
Rick_Barnes	1	3
Jon_Corzine	3	1
Justin_Timberlake	7	1
Sharon_Davis	1	2
Matt_Damon	4	2
Jose_Maria_Aznar	11	20
Jesse_Harris	3	1
Al_Gore	8	4
Liza_Minnelli	4	7
Pupi_Avati	1	4
Horst_Koehler	1	3
Stockard_Channing	1	3
Colin_Farrell	1	9
Shane_Warne	2	1
Rick_Romley	2	3
Doris_Roberts	3	1
Judy_Genshaft	2	1
Bernard_Landry	4	1
Mario_Dumont	1	2
Christine_Todd_Whitman	4	3
Nicole_Kidman	3	13
Angela_Lansbury	1	2
Ernie_Fletcher	2	1
Juanes	2	1
Laura_Hernandez	1	2
Julianne_Moore	3	2
Liza_Minnelli	5	3
Elsa_Zylberstein	5	2
Rudolph_Giuliani	22	6
Maggie_Smith	2	1
Madonna	4	2
Lech_Walesa	1	2
Jack_Straw	7	18
Rick_Carlisle	2	1
Ricardo_Lagos	14	23
Brad_Johnson	5	4
Joseph_Biden	2	5
Dominique_de_Villepin	1	15
Gary_Bergeron	1	2
Sheila_Copps	4	3
Martina_Hingis	3	2
Elton_John	5	6
Mike_Weir	11	8
Rupert_Grint	1	2
Jodie_Foster	3	2
Jay_Garner	4	6
Robin_McLaurin_Williams	1	2
Charles_Kartman	1	2
Aleksander_Kwasniewski	1	2
Paul_Wolfowitz	9	1
Queen_Beatrix	4	2
Mary-Kate_Olsen	1	2
Arnold_Palmer	2	3
Rita_Grande	3	2
Barbra_Streisand	1	2
Catherine_Zeta-Jones	1	10
Elizabeth_Taylor	2	1
Flavia_Delaroli	2	1
David_Beckham	7	10
Richard_Branson	2	1
Ellen_Engleman	2	1
Tammy_Lynn_Michaels	1	2
Kimi_Raikkonen	3	1
Gary_Winnick	2	1
Terry_McAuliffe	1	3
Silvio_Berlusconi	4	23
Jon_Gruden	4	5
John_Malkovich	1	2
Gary_Williams	2	1
Trent_Lott	12	15
Magui_Serna	2	1
Luis_Ernesto_Derbez_Bautista	4	3
Amelie_Mauresmo	1	8
Carla_Del_Ponte	3	2
Paul_William_Hurley	2	1
Steven_Hatfill	2	1
Peter_Costello	1	2
Rafael_Ramirez	3	1
Jane_Fonda	1	2
Jennifer_Garner	1	5
Rod_Stewart	3	2
Yuri_Malenchenko	2	1
Harry_Kalas	2	1
Pat_Cox	2	1
Jack_Straw	26	5
Pierre_Pettigrew	1	2
Antonio_Banderas	3	2
Jacques_Rogge	6	4
Charles_Schumer	1	2
Eddy_Merckx	2	1
Scott_Ritter	2	1
Sonia_Gandhi	4	2
Carolina_Moraes	2	1
Caroline_Kennedy	1	3
Hanan_Ashrawi	1	2
David_Coulthard	2	1
Hugh_Grant	7	8
Winona_Ryder	8	6
Al_Davis	2	1
Michelle_Pfeiffer	1	3
Isabella_Rossellini	2	3
James_Kopp	1	3
Martha_Beatriz_Roque	1	2
Prince_Charles	2	1
Jeff_Van_Gundy	1	2
Theo_Epstein	2	1
Abdullah_Gul	12	14
Catherine_Zeta-Jones	4	10
Vojislav_Kostunica	1	7
Gianna_Angelopoulos-Daskalaki	2	3
Javier_Solana	4	8
Inocencio_Arias	2	1
Angela_Merkel	1	3
Jeffrey_Jones	2	1
Sarah_Michelle_Gellar	2	3
Jason_Lezak	2	1
Peter_Bacanovic	2	1
Jeb_Bush	2	10
Edward_Kennedy	1	3
Geoff_Hoon	1	3
Jane_Pauley	2	1
Michael_Kostelnik	2	1
David_Kelley	1	2
Patricia_Heaton	1	2
Ali_Naimi	4	6
Hipolito_Mejia	2	3
LK_Advani	2	3
Padraig_Harrington	4	2
Justine_Pasek	3	2
Ricky_Barnes	2	1
William_Burns	2	1
Cristina_Fernandez	1	2
Robert_Ehrlich	2	1
Evan_Rachel_Wood	3	2
Hugh_Grant	4	7
Charles_Mathews	1	2
Luke_Walton	1	2
Richard_Sambrook	1	2
Luis_Figo	2	3
Martin_Hoellwarth	2	1
Dennis_Kozlowski	2	1
Dick_Latessa	1	2
Bob_Stoops	3	2
Asa_Hutchinson	2	1
Paul_Wolfowitz	5	1
John_Rowland	2	1
Abel_Pacheco	4	2
Erik_Morales	2	1
Moshe_Katsav	4	2
Lord_Hutton	1	2
Queen_Beatrix	4	1
Jennifer_Garner	7	9
Fred_Thompson	1	2
Warren_Beatty	2	1
Lance_Bass	4	1
John_Kerry	9	12
Sergio_Vieira_De_Mello	10	7
James_Parker	2	1
Dianne_Feinstein	3	1
Jean-Sebastien_Giguere	1	2
Jose_Manuel_Durao_Barroso	2	3
Michael_Jackson	5	4
Mark_Heller	1	2
Jim_Furyk	1	4
Heidi_Klum	3	4
Bobby_Goldwater	2	1
Kate_Winslet	2	3
Johnny_Tapia	1	3
Cruz_Bustamante	2	5
Judi_Dench	2	1
Matthew_Perry	4	2
Eliane_Karp	4	1
Greg_Ostertag	2	1
Woody_Allen	2	4
Bode_Miller	2	1
Parris_Glendening	2	1
Madonna	2	3
Mary_Tyler_Moore	1	2
Jim_OBrien	3	2
James_Kelly	3	11
Jorge_Castaneda	1	2
Gregg_Popovich	2	1
Goldie_Hawn	5	6
Sourav_Ganguly	1	5
Paulo_Cesar_Pinheiro	1	2
Donald_Rumsfeld	54	7
Kiki_Vandeweghe	1	2
Mariah_Carey	6	3
Tom_Ridge	5	13
Hugh_Grant	8	3
Zoran_Djindjic	3	1
Jason_Kidd	6	10
David_Wolf	2	1
Michael_J_Sheehan	1	2
Bernard_Landry	3	2
Sheila_Copps	1	4
Gary_Forsee	1	2
Carmen_Electra	1	3
Prince_Edward	2	1
Shimon_Peres	3	7
Keanu_Reeves	10	1
Paul_Tagliabue	3	4
Mireya_Moscoso	2	5
Roy_Williams	3	4
Paul_Burrell	6	9
Alan_Ball	1	2
Mark_Hurlbert	4	1
Rita_Wilson	2	1
Akbar_Hashemi_Rafsanjani	3	1
James_Traficant	1	2
Claudia_Schiffer	3	1
Monica_Seles	4	2
Lance_Bass	5	4
Emily_Robison	2	1
David_Hyde_Pierce	1	3
Kjell_Magne_Bondevik	1	3
Leonardo_DiCaprio	7	4
Leonid_Kuchma	5	Elias_Attallah	1
Mona_Ayoub	1	Emmanuelle_Beart	2
Tara_Dawn_Christensen	1	Ahmed_Chalabi	4
Gerald_Ford	1	Franco_Cangele	1
John_Coomber	1	Carolyn_Kuhl	1
Paul_Tracy	1	Olivier_Rochus	1
Glenn_Tilton	1	Bak_Chang-Ryun	1
Darcy_Regier	1	Peter_OToole	1
Earl_Counter	1	Sammy_Knight	1
Alyse_Beaupre	1	Wes_Craven	1
Keith_Bishop_Jr	1	Viola_Davis	1
Leticia_Van_de_Putte	1	Solomon_Passy	1
Diana_Renee_Valdivieso_Dubon	1	Robert_Bonner	2
Jeff_Hornacek	1	Eric_Wedge	1
Ernie_Eves	2	Joey_Harrington	1
Martha_Beatriz_Roque	1	Sergio_Vieira_De_Mello	4
Bill_Rainer	1	Albert_Montanes	1
Alexandra_Jackson	1	Jennifer_Keller	1
Boris_Yeltsin	1	Don_Lake	1
Katie_Couric	1	Ben_Affleck	1
Nicolas_Latorre	1	Mario_Puzo	1
Emily_Mason	1	Mitchell_Swartz	1
Glen_Clark	1	Devin_Harris	1
Harvey_Wachsman	1	Andrew_Sabey	1
Jeannette_Biedermann	1	John_Danforth	1
Amy_Gale	1	Marwan_Muasher	1
Serge_Klarsfeld	1	Gary_Sayler	1
Joaquim_Rodriguez	1	Thomas_Enqvist	1
Curtis_Strange	1	Doug_Moe	1
King_Abdullah_II	2	Chen_Kaige	1
John_Edwards	4	Phil_Morris	1
Mike_Samp	1	Scott_Ritter	1
Earl_Counter	1	Mitchell_Swartz	1
Patrick_Clawsen	1	Herb_Sendek	4
Anthony_Corso	1	Trevor_McDonald	1
Todd_Robbins	1	Amanda_Coetzer	2
Mark_McClellan	1	Hank_Stram	1
Bo_Ryan	1	Kemal_Dervis	1
Lon_Kruger	2	Stella_Keitel	1
Bud_Selig	2	Gala_Leon_Garcia	1
Chuck_Hagel	1	Enola_Rice	1
Gerard_Depardieu	2	Tiger_Woods	22
Natalya_Sazanovich	1	Carl_Reiner	2
Marie-Josee_Croze	1	Vyacheslav_Fetisov	1
Muffet_McGraw	1	Sandra_Day_OConner	1
Lorraine_Bracco	1	Evgeni_Plushenko	1
James_McPherson	1	Brian_Grazier	1
Bob_Krueger	1	Wes_Craven	1
Andres_Pastrana	1	Gary_Locke	1
Lenny_Kravitz	1	Tom_Vilsack	1
Annie_Machon	1	Lokendra_Bahadur_Chand	1
John_White	1	Shingo_Suetsugu	1
Maria_Wetterstrand	1	Bruno_Junquiera	1
Spike_Helmick	1	Kelvin_Sampson	3
Juan_Antonio_Samaranch	1	Mohammed_Al_Hindi	1
Roberto_Cercelletta	1	Chuck_Eidson	1
Madonna	2	Quin_Snyder	1
