10	500
Steve_Ballmer	1	2
Alvaro_Noboa	3	2
Keanu_Reeves	10	9
Abdullah	1	2
David_Wolf	2	1
Sean_Penn	3	1
Jon_Corzine	2	3
Kemal_Dervis	1	3
Nursultan_Nazarbayev	2	1
Emile_Lahoud	1	2
John_Banko	1	2
Sebastien_Grosjean	3	4
Abdullatif_Sener	1	2
Manfred_Stolpe	1	2
Eric_Rosser	2	1
Mohammed_Baqir_al-Hakim	1	2
Ray_Allen	2	1
Carlos_Ruiz	1	2
Franko_Simatovic	2	1
Fernando_Gonzalez	1	9
Jesse_Jackson	2	8
Stellan_Skarsgard	1	2
Jose_Sarney	1	2
Mike_Price	1	2
Fabiola_Zuluaga	2	1
Tariq_Aziz	4	5
Ariel_Sharon	13	65
Keanu_Reeves	9	6
Lawrence_MacAulay	1	2
Naji_Sabri	2	1
Munir_Akram	1	2
Russell_Simmons	4	5
Andre_Agassi	27	18
Sean_OKeefe	2	1
Silvio_Fernandez	2	1
James_Cameron	1	3
Andrei_Mikhnevich	1	2
Glafcos_Clerides	4	1
Luiz_Felipe_Scolari	2	1
Bashar_Assad	4	3
Stephen_Ambrose	2	1
Geno_Auriemma	1	2
Javier_Solana	10	9
Latrell_Sprewell	1	2
Kofi_Annan	4	8
William_Hochul	1	2
Bo_Pelini	2	1
Recep_Tayyip_Erdogan	15	5
Hilmi_Ozkok	1	2
John_Jumper	1	2
Gerry_Adams	7	3
Albert_Costa	6	5
Philippe_Noiret	1	2
Vincent_Gallo	1	3
Kosuke_Kitajima	1	2
Marat_Safin	2	3
Christian_Fittipaldi	2	1
Joan_Laporta	3	5
Roy_Williams	3	4
Rio_Ferdinand	2	1
Tom_Brady	1	2
Paul_Wellstone	1	3
Jan_Ullrich	4	3
Tassos_Papadopoulos	2	3
Morgan_Freeman	1	2
Luis_Horna	1	2
Iva_Majoli	2	1
Phil_Gramm	1	2
Joseph_Deiss	1	3
Tim_Curry	2	1
Kemal_Dervis	2	1
Antonio_Palocci	3	2
Steve_Nash	3	4
Augustin_Calleri	1	4
Brad_Garrett	3	4
Jason_Kidd	7	1
Amram_Mitzna	1	2
Gary_Carter	2	3
Nathan_Lane	1	2
Andre_Agassi	27	33
Shaul_Mofaz	2	3
Robert_Witt	2	1
Paul_Pierce	1	2
Mahmoud_Abbas	8	19
Paul_Shanley	3	2
Jim_Harrick	1	2
Kent_Rominger	2	1
Asa_Hutchinson	2	1
Christian_Longo	2	3
Recep_Tayyip_Erdogan	1	28
Bijan_Namdar_Zangeneh	1	2
Billy_Crystal	5	6
Bulent_Ecevit	5	6
Jeremy_Shockey	2	1
Dale_Earnhardt_Jr	3	4
Nebojsa_Pavkovic	1	2
Vaclav_Havel	3	7
Tom_Cruise	6	10
Brian_Heidik	2	1
Jose_Sarney	1	3
James_Blake	5	2
Akhmed_Zakayev	2	3
Augusto_Roa_Bastos	1	2
Kim_Yong-il	1	3
James_Butts	2	1
Russell_Simmons	1	5
William_Burns	2	1
Miguel_Estrada	1	2
Mike_Krzyzewski	6	1
Branko_Crvenkovski	3	2
Richard_Sambrook	1	2
Lionel_Richie	1	2
Shane_Mosley	1	2
Lon_Kruger	1	2
Jonathan_Mostow	1	2
Brad_Garrett	2	4
Roger_Federer	6	1
Celso_Amorim	2	1
Mukesh_Ambani	1	2
Gerry_Adams	5	7
Jack_Nicholson	2	3
Tim_Duncan	1	3
Byron_Scott	1	2
Geoff_Hoon	6	7
Bernardo_Segura	2	1
Muhammad_Ali	6	4
King_Abdullah_II	4	1
Igor_Ivanov	19	3
Jose_Maria_Aznar	5	1
Alvaro_Uribe	31	22
Jude_Law	2	1
Larry_Johnson	2	1
Boris_Becker	1	5
Christopher_Patten	1	2
Yevgeny_Kafelnikov	1	3
Alejandro_Avila	2	1
Kenneth_Evans	1	2
Greg_Rusedski	3	1
Alberto_Ruiz_Gallardon	2	1
Junichiro_Koizumi	26	45
Luciano_Pavarotti	3	2
Muhammad_Ali	5	10
James_Schultz	1	2
Steve_Nash	1	4
Abdullah_Gul	19	10
Anthony_LaPaglia	2	1
Christian_Longo	1	3
Luis_Figo	3	2
Ellen_DeGeneres	2	1
Scott_Ritter	1	2
Mukesh_Ambani	3	1
Igor_Ivanov	8	12
Will_Smith	2	1
Gabriel_Valdes	2	1
Steve_Waugh	1	2
Muhammad_Ali	6	2
Branko_Crvenkovski	1	2
Anders_Fogh_Rasmussen	2	1
Mohammed_Baqir_al-Hakim	3	1
Edward_Norton	1	2
Christian_Wulff	1	2
Ruben_Studdard	1	2
Arnoldo_Aleman	4	2
Susilo_Bambang_Yudhoyono	2	3
Juan_Carlos_Ferrero	15	8
Naji_Sabri	3	1
Carlos_Manuel_Pruneda	3	1
Harry_Schmidt	3	1
LK_Advani	1	2
Joan_Laporta	4	3
Jesse_Ventura	1	2
Alastair_Campbell	3	2
Mike_Krzyzewski	6	4
Joan_Laporta	4	5
Sean_OKeefe	3	2
Justin_Timberlake	8	6
Mahmoud_Abbas	1	26
Leonard_Hamilton	1	2
Ethan_Hawke	2	4
Vicente_Fox	26	27
Arnoldo_Aleman	5	1
John_Garamendi	1	2
Slobodan_Milosevic	3	1
Duane_Lee_Chapman	1	2
Paul_Bremer	9	7
Jesse_Ventura	1	3
Ray_Nagin	1	2
Gary_Carter	1	2
Sean_Patrick_OMalley	3	2
Mike_Tyson	2	1
Kenneth_Bowersox	1	3
Paulo_Cesar_Pinheiro	2	1
Juan_Carlos_Ferrero	18	13
Jorge_Batlle	3	2
Michael_Jordan	3	1
Amer_al-Saadi	4	3
Fidel_Castro	16	13
Jason_Kidd	10	6
Bo_Ryan	1	2
Vincent_Gallo	3	2
Tom_Cruise	3	7
Antonio_Palocci	8	3
Guillermo_Canas	3	4
Mario_Kreutzberger	2	1
Mike_Krzyzewski	6	2
Michel_Therrien	2	1
Art_Howe	1	4
Javier_Solana	7	3
Paul_Wellstone	2	3
Yossi_Beilin	2	1
Richard_Branson	2	1
Inam-ul-Haq	2	1
Glafcos_Clerides	2	1
Gunter_Pleuger	6	7
James_Blake	6	12
Habib_Rizieq	2	3
David_Wells	1	6
Antonio_Palocci	8	1
Albert_Costa	4	2
George_Papandreou	1	4
