10	500
Arye_Mekel	1	2
Ari_Fleischer	7	3
Chok_Tong_Goh	1	2
Ken_Macha	1	2
Gregory_Geoffroy	1	2
Jeong_Se-hyun	8	5
Joschka_Fischer	2	10
Robert_Witt	2	1
Jennifer_Reilly	2	1
Victoria_Beckham	2	1
Stephen_Ambrose	2	1
Arnaud_Clement	1	2
Lee_Tae-sik	1	2
Ari_Fleischer	13	6
Christopher_Walken	4	3
Walter_Mondale	2	3
John_Stallworth	1	2
Ken_Watanabe	1	2
Wen_Jiabao	1	7
Fujio_Cho	1	6
Charlie_Zaa	2	1
Peter_Struck	2	3
Tariq_Aziz	2	5
Bernard_Landry	2	1
Mohammed_Al-Douri	10	2
Paul_Patton	1	2
Muhammad_Saeed_al-Sahhaf	1	3
Mahathir_Mohamad	5	14
Gabriel_Valdes	2	1
Ozzy_Osbourne	1	3
Choi_Sung-hong	4	5
Dennis_Hastert	1	4
Donald_Rumsfeld	24	45
Hans_Eichel	2	1
Miguel_Contreras	1	2
Lim_Dong-won	1	2
Phan_Van_Khai	1	3
Jiang_Zemin	13	8
Fernando_Henrique_Cardoso	7	3
Alvaro_Uribe	6	29
George_Robertson	12	2
Scott_Ritter	1	2
Claudia_Pechstein	2	3
Robert_Mugabe	1	2
Jeong_Se-hyun	1	9
Chen_Liang_Yu	1	2
Arnoldo_Aleman	3	4
Edward_Kennedy	2	3
Jack_Straw	18	7
Anne_Krueger	3	1
Dennis_Hastert	5	2
Makhdoom_Amin_Fahim	3	2
Romano_Prodi	5	7
William_Hochul	2	1
Lesley_McCulloch	2	1
Scott_Rudin	1	2
Michael_J_Sheehan	2	1
Wolfgang_Schuessel	3	1
Martin_Hoellwarth	1	2
Marc_Grossman	2	1
Hun_Sen	4	1
Francis_George	2	1
David_Trimble	3	1
James_Cameron	2	1
Joschka_Fischer	15	9
Dick_Cheney	6	8
Fernando_Vargas	2	3
Yoko_Ono	6	5
Mian_Khursheed_Mehmood_Kasuri	3	1
James_Maguire	2	1
Anne_Krueger	2	1
Masum_Turker	2	1
George_Robertson	15	9
Dick_Cheney	6	12
Tang_Jiaxuan	11	1
Robert_Evans	1	2
William_Martin	1	2
Franko_Simatovic	1	2
Wang_Yingfan	3	2
Muammar_Gaddafi	2	1
Christopher_Walken	2	4
Jesse_Harris	2	1
Kim_Yong-il	2	1
Adolfo_Aguilar_Zinser	1	2
Hu_Jintao	7	3
Mitoji_Yabunaka	2	1
Marcelo_Ebrard	3	2
Tom_Craddick	2	1
Vaclav_Klaus	1	2
David_Hyde_Pierce	2	3
Jack_Straw	2	6
Hans_Blix	29	32
Rogerio_Romero	1	2
Donald_Rumsfeld	43	33
Makhdoom_Amin_Fahim	1	3
Antonio_Palocci	3	6
Mahmoud_Abbas	18	5
Bill_Simon	7	13
James_Traficant	2	3
Hans_Eichel	3	1
Abel_Pacheco	1	3
Abdoulaye_Wade	2	3
James_Traficant	2	1
Gao_Qiang	1	2
Lee_Hoi-chang	1	2
James_Smith	1	2
Jon_Corzine	2	1
Gary_Locke	1	2
Paul_ONeill	2	5
Marc_Grossman	4	1
Atal_Bihari_Vajpayee	1	15
Hun_Sen	2	4
Romano_Prodi	6	7
Ken_Macha	2	3
Mahmoud_Abbas	19	14
Walter_Mondale	3	5
Elton_John	6	7
Mikhail_Gorbachev	1	2
Anthony_Fauci	2	1
LK_Advani	1	3
Stephen_Daldry	2	1
Dorthy_Moxley	2	1
Cesar_Gaviria	7	8
David_Stern	4	2
James_Kopp	4	1
Hun_Sen	3	2
Jerry_Springer	2	3
Abdoulaye_Wade	4	1
Sean_Patrick_OMalley	1	2
Bill_Gates	8	17
Romano_Prodi	7	1
Wu_Yi	1	2
Jennifer_Rodriguez	1	2
Paul_Sarbanes	3	2
Ron_Dittemore	7	3
Phan_Van_Khai	3	2
David_Hyde_Pierce	2	4
Joseph_Deiss	1	3
Farouk_al-Sharaa	1	2
Hun_Sen	2	1
Antonio_Palocci	7	6
Jay_Rasulo	2	1
Farouk_al-Sharaa	2	3
John_Banko	1	2
Lord_Hutton	2	1
Darrell_Porter	1	2
John_Bolton	9	1
David_Stern	2	1
Ellen_Engleman	1	2
Ali_Khamenei	2	1
Christopher_Walken	2	3
Roger_Moore	1	2
Masum_Turker	1	3
Jean-Pierre_Raffarin	3	6
Bernard_Law	4	2
Marc_Grossman	1	3
Woody_Allen	2	1
Francis_Ford_Coppola	2	1
Tim_Robbins	1	5
Vidar_Helgesen	2	1
James_Parker	1	2
LK_Advani	2	1
Yu_Shyi-kun	2	1
Alexander_Downer	2	4
Alexander_Downer	3	2
Eric_Clapton	1	2
Mike_Martz	4	1
Jorge_Batlle	2	3
Michel_Duclos	2	1
Bernard_Law	4	3
Muhammad_Saeed_al-Sahhaf	3	2
Jonathan_Mostow	1	2
Gregory_Hines	2	1
Choi_Sung-hong	3	4
Jean-Marc_de_La_Sabliere	2	1
Chang_Dae-whan	2	1
Tariq_Aziz	4	5
Franz_Muentefering	4	3
Bill_Gates	13	4
George_Brumley	1	2
Bobby_Goldwater	2	1
Dan_Morales	1	2
Chen_Shui-bian	4	5
Bill_Simon	13	3
Munir_Akram	2	1
Jose_Sarney	1	2
Jay_Garner	2	5
Robert_Evans	2	3
Martin_McGuinness	3	5
Paul_Shanley	3	1
Richie_Adubato	1	2
Annette_Lu	3	1
Dalai_Lama	1	2
Romano_Prodi	6	4
Carla_Del_Ponte	1	3
Paul_ONeill	5	9
Guido_Westerwelle	1	2
Woody_Allen	5	1
Dick_Cheney	14	7
Warren_Buffett	2	1
Steven_Spielberg	6	5
Hipolito_Mejia	1	4
Tom_Craddick	2	4
Mohamed_ElBaradei	2	7
Mohammed_Al-Douri	14	8
Bernard_Landry	3	1
Sergey_Lavrov	7	6
Sergey_Lavrov	2	7
Andrew_Bunner	1	2
Juan_Valencia_Osorio	1	2
Theodore_Tweed_Roosevelt	1	3
Enrique_Bolanos	5	4
Ari_Fleischer	9	12
Larry_Brown	5	6
Arnoldo_Aleman	5	2
Brian_Cowen	1	2
Jeffrey_Archer	2	1
Tsutomu_Takebe	2	1
Alvaro_Silva_Calderon	4	3
Jean-Pierre_Raffarin	6	1
Farouk_al-Sharaa	1	3
Jay_Garner	1	5
Tariq_Aziz	1	4
Hans_Blix	23	21
Henrique_Meirelles	1	2
Walter_Mondale	8	4
Joseph_Deiss	2	1
Liu_Mingkang	1	2
Hilmi_Ozkok	2	1
Alan_Greenspan	3	1
Abel_Pacheco	3	4
Phan_Van_Khai	1	2
George_Robertson	8	9
Jose_Sarney	3	1
Hichiro_Naemura	2	1
Prince_Charles	2	4
Jack_Straw	13	28
Mohamed_ElBaradei	4	8
Tim_Robbins	2	1
Frank_Griswold	1	2
Surakait_Sathirathai	1	2
Bill_Gates	1	2
Kim_Jong-Il	1	3
Michael_Moore	3	2
Jong_Thae_Hwa	2	1
David_Trimble	5	1
Donald_Pettit	2	1
Ruth_Dreifuss	1	2
Brian_Wells	2	1
Guillermo_Ortiz	2	1
Alvaro_Uribe	23	29
Larry_Brown	6	7
Larry_Thompson	4	3
Hipolito_Mejia	3	4
Mahathir_Mohamad	3	10
Jiang_Zemin	3	18
David_Stern	2	3
Steven_Spielberg	4	1
Roger_Moore	5	1
Antony_Leung	4	2
Mian_Khursheed_Mehmood_Kasuri	1	4
Kim_Yong-il	1	3
Victoria_Beckham	3	1
Franz_Muentefering	3	1
Susilo_Bambang_Yudhoyono	4	3
Anne_McLellan	2	3
Susilo_Bambang_Yudhoyono	1	4
Frank_Dunham_Jr	2	1
Christopher_Walken	2	1
Parris_Glendening	1	2
Bud_Selig	2	3
David_Trimble	3	4
Donald_Rumsfeld	112	61
Arnoldo_Aleman	2	4
Michael_Moore	1	2
Jack_Straw	3	20
Marcelo_Ebrard	1	2
Mahmoud_Abbas	2	19
Dick_Cheney	3	4
Ricardo_Sanchez	6	1
Susilo_Bambang_Yudhoyono	2	3
Brian_Mulroney	2	1
Pervez_Musharraf	11	1
Paul_ONeill	8	9
Alvaro_Uribe	10	32
Mike_Martz	1	5
Adolfo_Aguilar_Zinser	3	1
Walter_Mondale	9	1
Jean-David_Levitte	8	6
Antony_Leung	2	3
Win_Aung	4	3
Wen_Jiabao	10	5
George_Robertson	4	5
Megawati_Sukarnoputri	26	23
Peter_Struck	1	4
Joseph_Deiss	2	3
Charles_Kartman	2	1
Ruth_Harlow	1	2
Fred_Eckhard	1	2
