10	500
Arturo_Gatti	2	3
Prince_Willem-Alexander	3	1
Princess_Caroline	3	4
Tom_Ridge	32	17
Guillermo_Coria	7	4
Charles_Taylor	7	2
Horst_Koehler	1	3
Saparmurat_Niyazov	1	2
Bill_Paxton	3	2
Mesut_Yilmaz	1	2
Paul_Wellstone	3	2
Anna_Nicole_Smith	2	1
Dale_Earnhardt_Jr	1	3
Pete_Sampras	20	14
Amber_Tamblyn	2	1
Gloria_Trevi	4	1
Svetlana_Koroleva	2	1
Jamling_Norgay	1	2
Queen_Rania	3	1
Diana_Taurasi	2	1
Matthew_Broderick	2	3
Lili_Taylor	2	1
Jackie_Chan	1	9
Muhammad_Ali	10	4
Rita_Moreno	1	2
JK_Rowling	5	3
Joe_Torre	1	2
Hanan_Ashrawi	2	1
Natasha_McElhone	2	1
Richard_Gere	3	10
Larry_Lucchino	2	1
Patti_Labelle	2	1
Christopher_Patten	1	2
Joerg_Haider	1	2
Henrique_Meirelles	1	2
William_Martin	1	2
Michael_J_Sheehan	2	1
Tsutomu_Takebe	2	1
Mariah_Carey	2	1
Petro_Symonenko	1	2
Milo_Maestrecampo	3	1
Alexander_Downer	1	2
Bob_Colvin	1	2
Brad_Garrett	4	2
Jolanta_Kwasniewski	1	2
Roman_Polanski	4	1
David_Hyde_Pierce	4	3
Hillary_Clinton	4	6
Alexandra_Stevenson	2	3
Anthony_Fauci	2	1
Martha_Lucia_Ramirez	4	1
Felipe_Perez_Roque	1	4
Lauren_Hutton	2	1
Gerhard_Schroeder	57	29
Jim_Tressel	4	1
Queen_Elizabeth_II	3	11
Andrew_Niccol	1	2
Jimmy_Carter	7	9
Zhu_Rongji	6	2
Michael_Jackson	3	12
Arianna_Huffington	4	1
Jane_Pauley	2	1
Sammy_Sosa	2	1
Roseanne_Barr	2	1
George_Lopez	2	5
Ahmed_Chalabi	5	3
Raquel_Welch	1	2
Scott_Ritter	1	2
John_Ashcroft	18	28
Alvaro_Silva_Calderon	1	3
Carlos_Bianchi	2	1
Leszek_Miller	2	1
Theo_Epstein	2	1
Ronaldo_Luis_Nazario_de_Lima	3	4
Pierre_Pettigrew	2	1
Naoto_Kan	1	3
Ali_Abbas	1	2
Farouk_al-Sharaa	2	3
Orlando_Bloom	1	3
Robert_Blake	7	5
Clare_Short	1	3
Raymond_Odierno	1	2
Monique_Garbrecht-Enfeldt	1	3
Jennifer_Aniston	16	6
Scott_McClellan	4	1
Monica_Seles	2	3
Pascal_Lamy	2	1
Paul_Hogan	1	2
Renee_Zellweger	5	6
Marty_Mornhinweg	1	2
Martin_Scorsese	5	6
Don_Siegelman	3	2
Bobby_Robson	2	1
Jose_Manuel_Durao_Barroso	6	2
Shannon_OBrien	1	2
Nick_Nolte	3	5
Anneli_Jaatteenmaki	1	2
Ariel_Sharon	12	52
Joschka_Fischer	12	16
Carolyn_Dawn_Johnson	2	1
Olivia_Newton-John	1	2
Gregory_Geoffroy	2	1
Michel_Therrien	2	1
Sergei_Ivanov	5	2
Gillian_Anderson	2	1
William_Rehnquist	1	2
Atal_Bihari_Vajpayee	2	12
Yuri_Malenchenko	2	1
Hosni_Mubarak	4	2
Magui_Serna	2	1
Bob_Huggins	3	2
Zhu_Rongji	9	4
Mike_Miller	2	1
Michael_Douglas	1	6
Robert_Horan	1	2
Robert_Redford	1	6
Catherine_Deneuve	4	1
Bulent_Ecevit	2	3
Martha_Burk	3	1
Gray_Davis	13	15
Erin_Runnion	1	4
John_McEnroe	1	2
Jennifer_Capriati	9	33
Dennis_Erickson	2	1
Elizabeth_Taylor	1	2
Reese_Witherspoon	1	2
Marcus_Gronholm	2	1
David_Nalbandian	6	2
Wolfgang_Schuessel	4	1
Liam_Neeson	3	1
Jimmy_Carter	7	8
Hans_Blix	36	7
Joe_Lieberman	13	11
Gil_de_Ferran	4	1
Leonid_Kuchma	3	5
Ali_Khamenei	3	1
Bridget_Fonda	2	3
Lauren_Killian	2	1
Yevgeny_Kafelnikov	3	2
Ana_Palacio	7	8
Paul_Wolfowitz	9	4
Jerry_Regier	3	1
Gloria_Trevi	2	1
Clint_Eastwood	1	6
James_Morris	2	1
Norodom_Sihanouk	2	3
Sebastien_Grosjean	4	1
Edmund_Stoiber	2	11
Conan_OBrien	3	2
Calista_Flockhart	6	2
Patrick_Stewart	2	1
Geraldine_Chaplin	3	1
Hayley_Tullett	2	1
Zoran_Djindjic	4	2
David_Coulthard	1	2
Kevin_Stallings	2	1
Petria_Thomas	3	2
Laurent_Jalabert	2	1
LeBron_James	2	5
Antony_Leung	2	3
Sergio_Vieira_De_Mello	11	8
Bernard_Law	5	3
Fabrice_Santoro	2	1
Brian_Heidik	2	1
Mitchell_Daniels	1	4
Igor_Ivanov	13	9
Gustavo_Kuerten	1	3
Iain_Duncan_Smith	1	3
Jennifer_Reilly	2	1
Joseph_Blatter	2	1
Julianne_Moore	18	19
Oxana_Fedorova	4	1
Vaclav_Havel	2	8
Pedro_Malan	4	5
Spencer_Abraham	13	5
Patty_Schnyder	3	1
Robert_Redford	4	6
Leon_LaPorte	1	2
Mahmoud_Abbas	28	20
Jason_Kidd	5	8
Nathan_Lane	1	2
James_McGreevey	4	1
Martin_Hoellwarth	1	2
Sam_Bith	3	2
Prince_Naruhito	2	3
Pedro_Malan	1	4
Robert_Evans	2	1
Garry_Trudeau	2	1
Woody_Allen	4	5
Paul_Gascoigne	2	3
Lee_Hoi-chang	4	3
Gabriel_Valdes	1	2
Valery_Giscard_dEstaing	5	3
Mel_Gibson	1	2
Todd_Haynes	2	4
Maggie_Smith	1	2
Jason_Kidd	8	9
