10	500
Kathleen_Kennedy_Townsend	4	1
Tom_Crean	5	1
Silvan_Shalom	1	3
Boris_Berezovsky	2	1
Stanley_Tong	1	2
Queen_Elizabeth_II	10	2
Jay_Garner	5	6
Andy_Hebb	1	2
Alejandro_Avila	1	3
Masum_Turker	2	3
Eddy_Merckx	1	2
Andrew_Niccol	2	1
Dennis_Hastert	5	3
Bob_Huggins	2	1
David_Trimble	4	1
Sharon_Frey	1	2
Lesley_McCulloch	3	2
Paul_McNulty	2	1
Blythe_Hartley	1	2
Tim_Robbins	5	3
James_Cameron	1	2
William_Bulger	4	3
Jeremy_Shockey	1	2
Gro_Harlem_Brundtland	1	2
Sheila_Copps	4	1
Jesse_Harris	2	1
Kim_Dae-jung	5	7
Mike_Myers	5	2
Saddam_Hussein	23	9
Rick_Barnes	1	2
Gordon_Campbell	1	2
Paul_Hogan	2	1
Princess_Anne	1	2
Petria_Thomas	3	1
Aleksander_Kwasniewski	2	4
Tippi_Hedren	1	2
Chick_Hearn	3	2
Bo_Ryan	1	2
Edmund_Hillary	3	2
Mike_Brey	2	1
Jean_Charest	9	5
Sheila_Fraser	1	2
Steven_Spielberg	4	2
Osama_bin_Laden	3	2
Susilo_Bambang_Yudhoyono	3	1
Shaukat_Aziz	2	1
Gary_Winnick	2	1
Bruce_Weber	1	2
Wang_Yi	2	1
Princess_Elisabeth	2	1
Gilberto_Rodriguez_Orejuela	1	3
Kurt_Busch	2	1
Claudia_Pechstein	3	2
Dean_Barkley	2	1
Mahmoud_Abbas	18	21
Ernie_Els	3	4
Rupert_Murdoch	1	2
Fujio_Cho	5	6
Fujio_Cho	6	2
Mark_Heller	2	1
Jesse_Harris	2	3
Ben_Howland	3	2
Nadia_Petrova	2	3
Shannon_OBrien	2	1
Masum_Turker	2	1
Wu_Yi	1	3
David_Stern	3	2
Makhdoom_Amin_Fahim	2	1
Paul_Bremer	2	9
Gerry_Adams	7	1
Ronald_Reagan	1	3
Gunter_Pleuger	1	6
Kelvin_Sampson	1	2
Billy_Crystal	4	6
James_Ivory	2	1
Edwin_Edwards	1	2
Kim_Yong-il	1	2
Ricardo_Lopez_Murphy	2	1
Doug_Duncan	2	1
David_Anderson	5	1
Charles_Bronson	1	2
Alan_Mulally	1	2
Gary_Carter	1	2
John_Bolton	10	9
Kim_Jong-Il	1	2
James_Maguire	2	1
Brian_Cowen	1	2
Sebastian_Saja	3	1
Richie_Adubato	2	1
Martin_McGuinness	4	5
Frank_Stallone	1	2
Peter_Harrison	1	2
Donald_Rumsfeld	76	34
Gerry_Adams	7	5
Nicanor_Duarte_Frutos	7	6
Ernie_Els	4	2
Jon_Corzine	1	3
Jean-Claude_Braquet	1	2
Garry_Kasparov	1	2
Mohammad_Khatami	3	6
Mahathir_Mohamad	1	11
Alison_Lohman	2	1
Scott_Ritter	2	1
Mike_Holmgren	1	2
Alexander_Losyukov	4	2
Bernard_Law	5	3
Jeff_Van_Gundy	1	2
Mohammed_Al-Douri	13	7
Jimmy_Kimmel	1	2
Brian_Mulroney	2	1
Giuseppe_Gibilisco	4	3
Nadia_Petrova	2	5
Albrecht_Mentz	2	1
Bob_Huggins	2	3
Thomas_OBrien	8	3
Mian_Khursheed_Mehmood_Kasuri	3	4
Joschka_Fischer	18	7
Gao_Qiang	2	1
Jean_Brumley	2	1
Salman_Rushdie	3	2
Mike_Martz	6	4
Miguel_Contreras	1	2
Zafarullah_Khan_Jamali	2	1
Jeb_Bush	8	9
Mark_Geragos	1	2
Silvan_Shalom	1	4
Lawrence_MacAulay	2	1
Walter_Mondale	7	2
Carlo_Ancelotti	3	1
Jacques_Rogge	4	5
Masahiko_Nagasawa	1	2
Mike_Myers	3	5
Franko_Simatovic	2	1
Kirk_Johnson	1	2
Peter_Arnett	2	3
Dick_Clark	1	3
Adrian_Nastase	1	2
Jim_Hahn	2	1
Steven_Spielberg	1	4
Silvan_Shalom	1	2
Choi_Sung-hong	1	3
Kamal_Kharrazi	4	5
Federico_Trillo	2	1
Jay_Leno	2	1
Colin_Montgomerie	4	1
Mike_Scioscia	1	2
Ferenc_Madl	2	1
Eduardo_Duhalde	10	2
Richard_Butler	2	1
Roy_Williams	4	2
Aicha_El_Ouafi	1	2
Jeb_Bush	10	5
John_Manley	1	7
Joseph_Ralston	2	1
Kim_Yong-il	2	3
George_Clooney	2	3
Iain_Duncan_Smith	2	1
Jorge_Castaneda	1	2
Hee-Won_Han	2	1
Angela_Lansbury	2	1
Maureen_Fanning	1	2
Ernie_Els	2	1
Steven_Hatfill	1	2
Walter_Mondale	10	8
Vladimiro_Montesinos	2	3
Rubens_Barrichello	9	6
Tyron_Garner	1	2
Rob_Marshall	2	1
Paul_Coppin	2	1
Michelle_Branch	1	2
Mahmoud_Abbas	16	19
Eric_Clapton	1	2
Chuck_Amato	1	2
Michael_Schumacher	5	10
Janet_Thorpe	1	2
David_Anderson	5	3
Enrique_Bolanos	2	5
Gerry_Adams	7	4
Habib_Rizieq	3	2
David_Anderson	2	5
Hanan_Ashrawi	2	1
Chick_Hearn	1	2
Arye_Mekel	2	1
Robert_Mueller	1	2
Sachiko_Yamada	1	3
Herta_Daeubler-Gmelin	1	2
James_Jones	2	1
Guy_Hemmings	1	2
Arnold_Palmer	3	2
Recep_Tayyip_Erdogan	17	10
Geno_Auriemma	2	1
Gunter_Pleuger	4	5
Billy_Crystal	5	4
Toshihiko_Fukui	1	2
David_Wells	2	1
Bill_Clinton	17	12
Monique_Garbrecht-Enfeldt	3	2
Abdullah_Gul	6	11
Doug_Collins	1	2
Saddam_Hussein	20	7
Alvaro_Noboa	3	2
Steve_Mariucci	2	3
Gary_Williams	1	2
Inam-ul-Haq	2	1
Hans_Eichel	3	2
Franz_Muentefering	2	1
Salman_Rushdie	1	3
Jay_Leno	3	1
Ishaq_Shahryar	1	2
Abdullah	1	2
Cesar_Maia	2	1
Robert_Witt	2	1
Paul_Tagliabue	2	3
Jay_Rasulo	1	2
Romano_Prodi	3	7
Margaret_Thatcher	2	1
Donna_Shalala	2	1
Mark_Cuban	1	2
Spencer_Abraham	17	15
David_Trimble	5	2
Edwin_Edwards	2	3
Omar_Sharif	3	1
Tom_Crean	1	3
Mohammed_Baqir_al-Hakim	1	3
Scott_Rudin	2	1
Peter_Arnett	1	2
Yuri_Fedotov	2	1
Recep_Tayyip_Erdogan	21	3
Ralf_Schumacher	2	7
Yasser_Arafat	1	5
Jacques_Rogge	4	9
