10	500
LeBron_James	4	2
Amanda_Coetzer	2	1
Doug_Collins	1	2
Dan_Morales	2	1
King_Abdullah_II	3	4
Paul-Henri_Mathieu	2	1
Emmit_Smith	2	1
Susilo_Bambang_Yudhoyono	3	2
James_Kelly	7	9
Kathy_Winters	1	2
Michael_Chang	3	7
Mohammed_Al-Douri	13	8
Carlos_Menem	12	3
James_Caan	1	2
Chen_Shui-bian	1	5
Carlos_Ghosn	1	2
Gian_Marco	2	1
Abdoulaye_Wade	4	1
Darrell_Porter	2	1
Shaul_Mofaz	1	2
Mike_Brey	2	1
Li_Zhaoxing	4	6
Eric_Rosser	1	2
Robert_Redford	8	3
Saddam_Hussein	21	5
Anastasia_Myskina	3	2
Luis_Ernesto_Derbez_Bautista	6	5
Isaiah_Washington	2	1
Robert_Torricelli	2	3
Jon_Corzine	2	1
Juan_Carlos_Ferrero	27	2
Ariel_Sharon	2	44
Marc_Grossman	1	4
Andrew_Niccol	1	2
Hisao_Oguchi	1	2
Todd_Haynes	2	3
Marlene_Weingartner	2	1
Guillermo_Canas	2	3
James_Blake	9	10
Terry_McAuliffe	1	3
John_Negroponte	3	19
David_Stern	3	2
Jia_Qinglin	1	2
Roger_Federer	8	9
David_Caraway	2	1
Rubens_Barrichello	11	5
Wang_Yi	2	1
Jesse_Harris	3	2
Robert_De_Niro	4	5
Steve_Backley	1	2
Vaclav_Havel	5	9
Martha_Stewart	1	3
Chick_Hearn	3	2
Prince_Naruhito	2	3
Chan_Gailey	3	2
Alex_Sink	1	3
Lino_Oviedo	2	1
Paul_Shanley	2	1
Rolf_Eckrodt	1	2
Oscar_Elias_Biscet	2	1
Anne_McLellan	2	1
Shane_Mosley	1	2
Terry_Stotts	1	2
Arye_Mekel	1	2
Camilla_Parker_Bowles	1	2
Grant_Hackett	2	4
Atal_Bihari_Vajpayee	4	6
Mike_Holmgren	2	1
John_Manley	7	4
Patrick_Roy	2	1
Robert_Witt	1	2
Eric_Hinske	2	1
Jim_Hahn	1	2
James_Wolfensohn	4	5
Boris_Yeltsin	2	1
Jean-Pierre_Raffarin	6	3
Frank_Solich	4	5
Frank_Lautenberg	1	2
Slobodan_Milosevic	1	2
Jay_Garner	5	6
Tariq_Aziz	2	3
Tung_Chee-hwa	6	4
Peter_Hillary	2	1
Richard_Gephardt	3	1
Colin_Powell	132	194
Petria_Thomas	3	2
Sergio_Garcia	1	2
Bulent_Ecevit	3	1
Bobby_Robson	1	2
James_McGreevey	3	2
Mohammed_Baqir_al-Hakim	1	3
Elvis_Presley	1	2
Phil_Vassar	2	1
Ali_Abbas	2	1
Pete_Sampras	6	19
Coretta_Scott_King	3	1
Naji_Sabri	2	5
Roy_Jones_Jr	1	2
Jose_Manuel_Durao_Barroso	3	6
Bernardo_Segura	1	2
John_Abizaid	9	2
Brian_Heidik	2	1
Rob_Lowe	3	1
Erik_Morales	1	3
Andre_Agassi	4	11
Andy_Roddick	11	14
Michael_Capellas	1	2
Warren_Buffett	2	1
Carlos_Moya	16	12
Jon_Gruden	2	7
Nabil_Shaath	3	1
Andy_Roddick	11	7
Jeff_Van_Gundy	1	2
Steve_Ballmer	1	2
Paul_Burrell	4	8
Hermann_Maier	2	1
Fred_Thompson	2	1
Kurt_Russell	1	2
Amelie_Mauresmo	21	13
Steven_Hatfill	1	2
Shane_Warne	1	2
Alvaro_Uribe	7	35
Juan_Pablo_Montoya	7	4
Fujio_Cho	2	3
Jesse_Harris	2	1
Robert_Redford	8	1
Daniel_Day-Lewis	1	2
Adel_Al-Jubeir	2	1
Mikhail_Kasyanov	3	4
Derek_Lowe	1	2
Arantxa_Sanchez-Vicario	2	1
Michael_Bloomberg	13	5
Yuri_Fedotov	1	2
Sonia_Gandhi	3	4
Jim_Furyk	1	3
Marcelo_Rios	4	2
Jon_Gruden	3	4
Stellan_Skarsgard	1	2
Adrian_McPherson	2	1
Scott_Rudin	2	1
Jean-Francois_Pontal	1	3
Orrin_Hatch	1	2
Ana_Guevara	4	3
Angelo_Reyes	4	2
Jake_Gyllenhaal	5	1
Robert_Mueller	2	1
Tubby_Smith	3	2
Fred_Eckhard	3	2
Charlton_Heston	3	1
David_Anderson	4	3
Joerg_Haider	2	1
Mike_Krzyzewski	1	5
Robert_Bullock	1	2
Carl_Reiner	1	2
Guillermo_Canas	4	1
Luiz_Inacio_Lula_da_Silva	14	40
Cathy_Freeman	2	1
David_Heymann	3	1
Dai_Bachtiar	1	2
