10	500
Harvey_Weinstein	1	2
Christopher_Walken	1	4
Frank_Solich	4	1
Stephen_Ambrose	2	1
Charles_Grassley	2	1
Shimon_Peres	8	2
King_Abdullah_II	5	2
Elijah_Wood	1	3
Jack_Straw	10	8
Chen_Shui-bian	4	2
Bijan_Darvish	1	2
Lawrence_MacAulay	1	2
Nasser_al-Kidwa	1	2
Ismail_Merchant	2	1
Costas_Simitis	4	1
Muammar_Gaddafi	2	1
George_Robertson	7	17
Francis_Ford_Coppola	2	1
Joseph_Deiss	2	3
Jose_Manuel_Durao_Barroso	4	6
Dick_Cheney	13	1
Heizo_Takenaka	6	7
John_Snow	8	10
Larry_Coker	1	4
Tim_Henman	5	3
Howard_Smith	1	2
Evander_Holyfield	2	1
Christian_Wulff	1	2
Juan_Carlos_Ferrero	21	26
Fidel_Castro	17	14
John_Rosa	3	1
Sepp_Blatter	3	2
David_Coulthard	1	2
Gil_de_Ferran	3	2
Silvan_Shalom	6	5
Brian_Griese	2	1
Blythe_Hartley	1	2
Carlos_Moya	4	8
Joan_Claybrook	1	2
Abdoulaye_Wade	3	4
Damon_van_Dam	2	1
Jesse_Jackson	3	6
Wen_Jiabao	8	4
Keanu_Reeves	6	11
Len_Jenoff	2	1
Norodom_Sihanouk	1	3
Sam_Bith	2	1
Costas_Simitis	1	5
Bill_Callahan	3	1
Larry_Thompson	3	4
Vladimiro_Montesinos	2	1
Lloyd_Ward	2	1
Rich_Gannon	1	2
James_Smith	1	2
Paul_Tagliabue	2	4
Colin_Jackson	1	2
Jeffrey_Jones	2	1
Stanley_Tong	2	1
Rolandas_Paksas	2	1
Howard_Dean	9	8
Michael_Keaton	1	2
Elton_John	3	2
Rick_Stansbury	2	1
Edward_Norton	1	2
Edward_Lu	4	3
Boris_Becker	4	2
Paul_Hogan	1	2
Frank_Stallone	1	2
Erik_Morales	3	1
Joseph_Biden	2	4
Mark_Wahlberg	2	3
Arturo_Gatti	2	1
Jesse_Ventura	3	1
Jeremy_Greenstock	7	11
Zafarullah_Khan_Jamali	2	1
Roy_Moore	4	3
John_Edwards	2	5
Dino_de_Laurentis	1	2
Jennifer_Capriati	42	31
George_Clooney	1	3
Christian_Longo	2	1
Torri_Edwards	2	1
Bono	3	1
Ricky_Ponting	1	2
Alex_Barros	1	2
Anna_Kournikova	12	11
Rainer_Schuettler	2	1
George_Lopez	4	3
Martin_Brodeur	1	2
Marcelo_Rios	2	3
Anders_Fogh_Rasmussen	3	1
Gary_Locke	2	1
JJ_Redick	2	1
Goran_Persson	2	1
Marcelo_Ebrard	3	1
Oleksandr_Moroz	1	2
Bill_Parcells	1	2
Kamal_Kharrazi	2	3
Kevin_Spacey	3	4
Johnny_Carson	2	1
Chakib_Khelil	2	1
Jean-Sebastien_Giguere	2	1
Jan_Ullrich	6	4
Rio_Ferdinand	2	1
Tamara_Brooks	1	2
Jacques_Chirac	30	20
Arminio_Fraga	2	4
Jorge_Valdano	1	2
Rainer_Schuettler	5	4
Larry_Johnson	1	2
Anibal_Ibarra	3	1
Alejandro_Toledo	21	18
Bernard_Landry	4	3
Martin_Cauchon	2	1
Jon_Gruden	7	3
