10	500
Xanana_Gusmao	4	3
Jonathan_Edwards	4	8
Nebojsa_Pavkovic	1	2
Jean-Francois_Pontal	1	2
Luiz_Inacio_Lula_da_Silva	1	38
King_Abdullah_II	2	4
John_Jumper	2	1
John_Stallworth	2	1
William_Martin	2	1
Placido_Domingo	3	2
Robert_Zoellick	3	2
Greg_Rusedski	4	3
Junichiro_Koizumi	44	50
Milo_Djukanovic	3	1
Jose_Theodore	1	2
Stephen_Ambrose	2	1
Jack_Nicholson	3	2
Martin_McGuinness	5	4
Taha_Yassin_Ramadan	7	2
Jim_Harrick	1	2
Amram_Mitzna	2	1
Joan_Laporta	7	6
Fidel_Castro	13	9
Franz_Fischler	2	1
Mikulas_Dzurinda	2	1
Nanni_Moretti	1	2
Robert_De_Niro	4	5
Muhammad_Ali	5	9
Kevin_Stallings	2	1
Carlos_Manuel_Pruneda	2	1
Aaron_Sorkin	2	1
John_Ruiz	1	2
Muhammad_Ali	9	7
Mukesh_Ambani	2	1
Geno_Auriemma	2	1
Anwar_Ibrahim	2	1
Eric_Clapton	1	2
Tim_Duncan	1	4
Derek_Lowe	2	1
Sean_Astin	2	3
Colin_Farrell	4	8
Carlos_Ruiz	3	1
Kenneth_Evans	1	2
Len_Jenoff	1	2
John_Malkovich	1	2
Raoul_Ruiz	1	4
Christian_Longo	1	3
Jayson_Williams	2	3
Boris_Becker	2	3
Tommy_Franks	6	2
Thomas_OBrien	5	3
Kofi_Annan	8	6
Jorge_Batlle	3	2
Glafcos_Clerides	3	2
Guy_Hemmings	1	2
Kenneth_Bowersox	2	1
Slobodan_Milosevic	4	2
Junichiro_Koizumi	44	37
Robby_Ginepri	1	2
Paul_Byrd	2	1
Fidel_Castro	4	11
Noah_Wyle	2	1
Georgi_Parvanov	2	1
Mike_Helton	2	1
Morgan_Freeman	2	1
Alejandro_Atchugarry	1	2
John_Garamendi	2	1
Nathan_Lane	2	1
Leland_Chapman	1	2
Sean_Penn	2	3
Mike_Krzyzewski	2	6
Raoul_Ruiz	2	1
S_Jayakumar	2	1
Phil_Vassar	1	2
Tim_Curry	2	1
Emile_Lahoud	2	1
Larry_Ellison	3	2
Alec_Baldwin	2	3
Bulent_Ecevit	6	4
Branko_Crvenkovski	3	2
Johnny_Tapia	3	1
Fabiola_Zuluaga	2	1
Tom_Cruise	1	9
Bo_Ryan	1	2
Alastair_Campbell	3	4
Michel_Duclos	2	1
Johnny_Tapia	2	3
Jim_Edmonds	1	2
Patrick_Ewing	2	1
Jose_Mourinho	1	2
Tim_Chapman	2	1
John_Blaney	1	2
Javier_Solana	5	1
Ron_Dittemore	8	5
Vladimir_Putin	4	31
Pervez_Musharraf	18	2
Edward_Said	2	1
Arminio_Fraga	3	1
Hassan_Nasrallah	2	1
Carlos_Ghosn	2	1
Sean_Astin	3	1
Robert_Kocharian	1	5
Tony_Bennett	3	4
Anibal_Ibarra	3	2
Gabriel_Valdes	2	1
Roy_Williams	3	2
Salman_Rushdie	3	2
Alvaro_Noboa	2	1
Junichiro_Koizumi	9	5
Bridgette_Wilson-Sampras	2	3
Andrew_Weissmann	3	2
Leander_Paes	2	1
Yevgeny_Kafelnikov	3	4
Gunter_Pleuger	5	6
Christian_Fittipaldi	1	2
James_Jones	2	1
Paul_Shanley	1	2
Muhammad_Ali	3	8
Evander_Holyfield	1	2
James_Parker	1	2
David_Anderson	5	1
Jan-Michael_Gambill	1	3
Jean-Sebastien_Giguere	2	1
JJ_Redick	2	1
Felix_Mantilla	2	1
Ethan_Hawke	1	3
George_Papandreou	1	3
Norman_Jewison	2	1
Steven_Hatfill	1	2
Richard_Branson	2	1
Russell_Crowe	2	1
Munir_Akram	1	2
Javier_Weber	1	2
Marcelo_Rios	4	5
Jeremy_Shockey	1	2
Manfred_Stolpe	1	2
Carlos_Manuel_Pruneda	2	3
Mohammad_Khatami	6	9
John_Brady	2	1
Tracy_McGrady	1	2
Jack_Nicholson	3	1
Brian_Heidik	2	1
Benjamin_Netanyahu	1	4
Vince_Carter	4	1
Ariel_Sharon	16	76
Alec_Baldwin	4	1
Frank_Cassell	1	3
Shane_Mosley	1	2
Bill_Belichick	2	1
Sean_OKeefe	1	5
Jesse_Jackson	2	4
Paul_Wellstone	1	3
Edward_James_Olmos	1	2
Saddam_Hussein	20	12
LeBron_James	3	1
Recep_Tayyip_Erdogan	3	7
Igor_Ivanov	2	13
Recep_Tayyip_Erdogan	30	28
Abid_Hamid_Mahmud_Al-Tikriti	1	3
Kent_Rominger	1	2
Jose_Sarney	2	1
Steven_Seagal	2	1
Mike_Price	2	1
Russell_Simmons	4	5
John_Bolton	8	16
Andrew_Weissmann	1	2
Gary_Carter	2	1
Dexter_Jackson	2	1
Luis_Gonzalez_Macchi	4	1
Imad_Moustapha	1	2
Edward_Norton	2	1
Lindsey_Graham	1	2
James_Cunningham	2	3
Igor_Ivanov	4	18
Mark_Gottfried	1	2
Susilo_Bambang_Yudhoyono	2	3
Stefano_Accorsi	1	2
Rick_Stansbury	3	1
Gunter_Pleuger	3	7
Carlos_Moya	4	18
Jorge_Valdano	2	1
Sam_Torrance	3	1
Tom_Brady	2	1
Junichiro_Koizumi	20	43
Billy_Crystal	1	3
Mario_Cipollini	2	1
Filippo_Inzaghi	3	2
Franz_Fischler	1	3
Jesse_Jackson	7	4
Bill_Graham	3	9
Latrell_Sprewell	1	2
Andrei_Mikhnevich	1	2
Anibal_Ibarra	1	3
Abdullah_Gul	7	14
Joan_Laporta	5	4
Roy_Williams	3	4
Dai_Bachtiar	1	2
Mike_Babcock	2	1
Abdullah	4	1
Hamid_Karzai	12	14
Roy_Williams	4	1
Abid_Hamid_Mahmud_Al-Tikriti	3	2
Kobe_Bryant	3	2
James_Cunningham	2	1
Gunter_Pleuger	1	7
Andre_Agassi	25	14
Antonio_Palocci	1	2
Lech_Walesa	2	1
Jorge_Castaneda	1	2
Kim_Yong-il	3	1
Robin_Cook	2	1
William_Burns	2	1
Art_Howe	3	1
Jose_Maria_Aznar	13	23
Tom_Cruise	8	5
Taha_Yassin_Ramadan	7	9
Vincent_Gallo	3	1
Jean-Francois_Pontal	3	2
Yossi_Beilin	2	1
James_Butts	2	1
Peter_Greenaway	2	1
Nursultan_Nazarbayev	2	1
Colin_Farrell	9	2
Lon_Kruger	1	2
Mohammed_Baqir_al-Hakim	3	1
Bill_Sizemore	1	2
Gerry_Parsky	1	2
Paul_Kagame	2	1
Osama_bin_Laden	1	4
Brian_Wells	2	1
Mike_Tyson	3	1
Bulent_Ecevit	4	3
Arnoldo_Aleman	3	1
John_Cusack	2	1
Joan_Laporta	9	3
Ruben_Studdard	2	1
Gunter_Pleuger	1	4
Arnaud_Clement	1	2
Recep_Tayyip_Erdogan	4	17
Ben_Affleck	7	2
Iva_Majoli	2	1
Abdullatif_Sener	2	1
Kim_Yong-il	3	2
Mike_Scioscia	2	1
Jose_Maria_Aznar	22	7
Doug_Melvin	1	3
Mike_Holmgren	2	1
Laurent_Gbagbo	1	2
David_Bell	2	1
Mohamed_ElBaradei	1	7
Byron_Scott	1	2
Bridgette_Wilson-Sampras	2	1
Zafarullah_Khan_Jamali	2	1
Rick_Barnes	2	1
Vicente_Fernandez	3	4
Stellan_Skarsgard	1	2
James_Gandolfini	3	2
Taha_Yassin_Ramadan	14	15
Yevgeny_Kafelnikov	1	2
Rio_Ferdinand	1	2
Milo_Djukanovic	1	2
David_Wells	3	6
Alberto_Fujimori	1	2
Johnny_Tapia	2	1
Mahmoud_Abbas	17	7
Sebastien_Grosjean	4	2
Igor_Ivanov	17	1
Jose_Sarney	1	3
Mark_Gottfried	1	3
Dino_de_Laurentis	2	1
Habib_Rizieq	1	3
Marcelo_Ebrard	3	2
Junichiro_Koizumi	59	48
Javier_Weber	1	3
Lionel_Richie	2	1
Jonathan_Edwards	8	2
Greg_Rusedski	3	1
Augusto_Roa_Bastos	2	1
