10	500
Natalie_Maines	2	1
Hun_Sen	4	3
Adam_Sandler	4	2
Tim_Henman	15	18
Charles_Moose	3	6
Takashi_Sorimachi	1	2
Leslie_Caldwell	1	2
Jon_Gruden	5	7
Queen_Elizabeth_II	7	10
Giuseppe_Gibilisco	4	3
Geraldine_Chaplin	4	1
Gian_Marco	2	3
Edward_Lu	1	2
Michael_Bloomberg	19	12
Julianne_Moore	13	10
David_Caruso	1	2
Erika_Harold	2	5
Sharon_Osbourne	2	1
Masum_Turker	3	2
Liza_Minnelli	2	4
Jim_Carrey	2	3
Juan_Carlos_Ferrero	18	16
John_Stallworth	2	1
Billy_Crystal	6	5
Saparmurat_Niyazov	1	2
Alejandro_Toledo	22	29
Coretta_Scott_King	3	2
Abdullah	3	1
Sebastian_Saja	1	2
Jean_Charest	2	13
Klaus_Zwickel	2	1
Edward_Lu	6	2
Xanana_Gusmao	1	4
Doris_Roberts	2	1
Gerardo_Gambala	2	1
Paul_Wolfowitz	2	9
Bill_Clinton	3	24
Ralph_Klein	2	1
Mike_Tyson	4	1
Robert_Kocharian	5	4
Tim_Robbins	5	2
Joan_Laporta	8	6
Kieran_Prendergast	2	1
Jane_Fonda	1	2
Prince_Claus	3	4
Carla_Del_Ponte	5	1
Fabiola_Zuluaga	2	1
Tony_Bennett	4	3
Kwon_Yang-sook	1	2
Intisar_Ajouri	2	1
Sergio_Vieira_De_Mello	4	11
Lennox_Lewis	2	3
Ron_Dittemore	5	2
Robert_Duvall	3	1
James_Traficant	3	1
Robin_McLaurin_Williams	2	1
Tariq_Aziz	2	5
Anneli_Jaatteenmaki	2	1
Warren_Buffett	2	3
Jennifer_Lopez	2	16
Emma_Watson	2	5
John_F_Kennedy_Jr	1	2
Jean_Charest	5	14
Marina_Anissina	2	1
Martin_Cauchon	2	1
Adel_Al-Jubeir	1	2
Alexander_Losyukov	3	2
Steve_Nash	1	5
Carolina_Moraes	2	1
Frank_Griswold	2	1
Diana_Taurasi	2	1
Federico_Trillo	2	1
Juan_Valencia_Osorio	1	2
Maria_Soledad_Alvear_Valenzuela	1	5
Debbie_Reynolds	2	1
Penelope_Cruz	1	3
Tim_Allen	4	2
Henrique_Meirelles	1	2
Carol_Burnett	1	2
Bill_Belichick	2	1
John_Negroponte	9	10
Manfred_Stolpe	1	2
Judi_Dench	1	2
Patricia_Clarkson	3	4
Richie_Adubato	1	2
Constance_Marie	1	2
Yao_Ming	8	1
Bridgette_Wilson-Sampras	3	1
Amanda_Beard	2	1
Steve_Lavin	5	3
Phan_Van_Khai	3	1
Alberto_Ruiz_Gallardon	1	2
Megawati_Sukarnoputri	2	14
Cristina_Saralegui	2	1
Howard_Smith	1	2
Hashim_Thaci	1	2
Jim_Tressel	2	3
Rick_Dinse	2	3
Silvio_Berlusconi	3	31
Hal_Gehman	4	5
Lily_Tomlin	1	2
Jelena_Dokic	4	7
Mary_Carey	1	4
Heizo_Takenaka	2	8
Princess_Masako	1	2
Pierre_Boulanger	1	2
Peter_Bacanovic	1	2
Frank_Solich	3	4
Strom_Thurmond	3	2
Arlen_Specter	2	3
Prince_Charles	3	4
Larry_Thompson	3	1
Goldie_Hawn	7	1
John_Allen_Muhammad	5	10
Abdoulaye_Wade	2	1
Kiki_Vandeweghe	1	2
Li_Peng	9	8
Fernando_Henrique_Cardoso	8	7
Jose_Canseco	3	1
Clara_Harris	1	5
Bob_Colvin	1	2
Lon_Kruger	1	2
Peter_Costello	1	2
Choi_Sung-hong	4	1
Vitali_Klitschko	2	4
Kurt_Busch	1	2
Torri_Edwards	2	1
Marlene_Weingartner	2	1
Angela_Bassett	5	4
Jose_Serra	5	9
Carolyn_Dawn_Johnson	3	2
Ian_Thorpe	8	6
Chanda_Rubin	5	1
Orrin_Hatch	1	2
Horst_Koehler	3	1
Jean-Pierre_Raffarin	5	2
Richard_Gephardt	11	5
Scott_Sullivan	1	2
John_Negroponte	22	10
Fernando_Gonzalez	9	1
Tony_Shalhoub	1	4
Benazir_Bhutto	2	5
Kalpana_Chawla	3	5
Shannon_OBrien	1	2
Nestor_Kirchner	6	13
Patrick_Leahy	2	1
Ai_Sugiyama	4	1
Marco_Antonio_Barrera	5	1
Larry_Ellison	3	2
Michael_Winterbottom	3	2
Ashton_Kutcher	2	1
Noelle_Bush	3	4
Ted_Maher	2	1
Michael_Caine	2	1
Nancy_Pelosi	13	10
Joe_Dumars	2	1
Ed_Rosenthal	1	3
Michael_Powell	3	4
Robert_Zoellick	1	6
Carlos_Menem	10	11
James_Wolfensohn	2	5
Celso_Amorim	2	1
Jada_Pinkett_Smith	1	2
Adel_Al-Jubeir	1	3
James_Smith	2	1
Bode_Miller	2	1
Ricky_Barnes	2	1
Heizo_Takenaka	9	3
Megan_Mullally	3	2
Jimmy_Carter	4	8
Oswaldo_Paya	3	5
Jean-Sebastien_Giguere	2	1
Erika_Harold	3	2
John_McCain	4	7
Silvia_Farina_Elia	1	3
Mark_Wahlberg	2	4
Kelli_White	1	2
Emma_Thompson	2	3
Tom_Daschle	6	20
Jacqueline_Obradors	1	2
Li_Zhaoxing	1	6
Yu_Shyi-kun	1	4
Kathryn_Bigelow	2	1
Tommy_Robredo	3	1
Tim_Robbins	2	3
George_HW_Bush	12	2
Silvio_Berlusconi	12	6
Isaiah_Washington	2	1
Sheila_Wellstone	2	1
Eduardo_Duhalde	9	13
Pierre_Pettigrew	2	3
Robert_Blake	4	8
Jacques_Chirac	5	26
Jeremy_Shockey	1	2
Colin_Montgomerie	2	5
Silvio_Berlusconi	4	25
Gary_Doer	2	1
Christine_Gregoire	3	1
Jean_Charest	8	12
Luis_Figo	4	1
Rick_Carlisle	2	1
Hillary_Clinton	1	14
Jeffrey_Jones	1	2
Jude_Law	2	1
Hosni_Mubarak	9	8
Jerry_Regier	2	3
George_Pataki	5	1
