10	500
Junichiro_Koizumi	53	58
Princess_Masako	1	2
OJ_Simpson	2	1
Cameron_Diaz	1	5
Sophia_Loren	3	1
Horst_Koehler	1	2
Jim_Carrey	3	1
Nancy_Sinatra	1	2
Clara_Harris	5	4
Kevin_Spacey	3	2
Hu_Jintao	13	12
Amelia_Vega	4	7
Elizabeth_Smart	5	1
Al_Sharpton	6	4
Sebastien_Grosjean	1	3
Mike_Babcock	2	1
Wayne_Ferreira	1	3
Jayson_Williams	1	2
Xanana_Gusmao	1	4
Hal_Gehman	3	1
Hector_Babenco	2	3
Roger_Moore	3	5
Ben_Glisan	1	2
Beth_Jones	2	1
Kristanna_Loken	3	4
Pete_Sampras	7	15
Ludivine_Sagnier	1	2
Al_Davis	1	2
Tim_Conway	1	3
Carlos_Ghosn	1	2
Catherine_Deneuve	4	5
Russell_Simmons	5	3
Kent_Rominger	1	2
Sean_Penn	2	1
Ann_Veneman	6	4
Mel_Brooks	2	1
Jack_Grubman	1	2
Jiang_Zemin	4	12
Raymond_Odierno	2	1
John_Travolta	4	2
Richard_Virenque	8	3
Samira_Makhmalbaf	2	1
Joseph_Estrada	3	4
Emmanuelle_Beart	1	3
Francis_George	2	1
Candice_Bergen	2	1
Paul_Kagame	2	1
Larry_Lucchino	2	1
John_Allen_Muhammad	10	11
Celine_Dion	2	7
Simon_Cowell	2	1
John_Travolta	5	3
Chok_Tong_Goh	2	1
Lloyd_Ward	2	1
Hashim_Thaci	2	1
Andy_Roddick	5	10
Thomas_Birmingham	1	2
Christian_Wulff	2	1
Li_Peng	8	4
Jim_OBrien	1	3
Kimi_Raikkonen	1	2
David_Nalbandian	8	3
Rolandas_Paksas	2	1
Abid_Hamid_Mahmud_Al-Tikriti	3	2
Mark_Hurlbert	3	2
Janet_Napolitano	1	3
Wolfgang_Schuessel	1	2
Markus_Naslund	2	1
Roger_Moore	1	2
Mary_Tyler_Moore	1	2
Steven_Seagal	1	2
Alan_Greenspan	2	5
Ricky_Barnes	1	2
Francisco_Flores	4	3
Leslie_Ann_Woodward	1	2
Jose_Maria_Aznar	3	19
Maria_Shriver	8	7
Lleyton_Hewitt	14	1
Jacqueline_Obradors	2	1
Alex_Penelas	1	2
Robert_Zoellick	5	7
Tim_Duncan	2	3
Kate_Hudson	8	9
Bob_Colvin	1	2
Minnie_Driver	1	2
Nan_Wang	2	3
Prince_Charles	4	3
Juan_Pablo_Montoya	5	8
Ashanti	2	1
Tom_Glavine	2	1
Rebecca_Romijn-Stamos	2	3
Tiger_Woods	11	3
Padraig_Harrington	4	1
Lenny_Wilkens	1	2
Hamid_Karzai	20	15
Andre_Agassi	5	16
Karen_Mok	1	2
Jeremy_Greenstock	23	24
Robert_Redford	3	5
Jim_Tressel	3	1
Kristanna_Loken	5	3
Susan_Sarandon	5	6
Amanda_Coetzer	1	2
Guy_Ritchie	2	1
Daniela_Hantuchova	1	2
Silvio_Berlusconi	17	22
Miguel_Estrada	1	2
Colin_Powell	185	140
Larry_Johnson	2	1
Yasar_Yakis	3	1
Jesse_James_Leija	1	2
Bono	1	2
Alan_Greenspan	4	5
Nikki_Reed	1	2
Lance_Armstrong	6	9
Robert_Mugabe	2	1
Gordon_Brown	6	13
Daniel_Radcliffe	3	2
John_Abizaid	1	5
Martina_Hingis	2	1
William_Bratton	3	1
