10	500
Wolfgang_Schuessel	3	2
Edmund_Hillary	1	3
Albrecht_Mentz	1	2
Boris_Yeltsin	2	1
Gary_Carter	2	3
Prince_Willem-Alexander	1	2
Omar_Sharif	2	3
Dave_Campo	3	2
Sam_Bith	3	1
Jon_Voight	3	2
Nick_Nolte	2	1
Rafael_Ramirez	4	2
Jack_Nicholson	2	1
Walter_Mondale	6	10
James_Caan	1	2
Max_Mayfield	2	1
Strom_Thurmond	1	2
Jean_Chretien	45	23
Tom_Reilly	2	3
James_Traficant	1	3
Bernard_Law	1	3
Parris_Glendening	1	2
Strom_Thurmond	3	1
Costas_Simitis	6	1
Zhu_Rongji	5	8
Angelo_Reyes	2	1
Peter_Costello	2	1
Franz_Beckenbauer	1	2
Jean_Chretien	11	52
Bijan_Namdar_Zangeneh	1	2
Bernard_Law	5	3
Nabil_Shaath	2	1
Tom_Reilly	2	1
William_Rehnquist	1	2
Leonid_Kuchma	5	1
Ricardo_Lagos	10	20
Ronald_Reagan	1	2
Fred_Thompson	3	1
Zhu_Rongji	3	5
Tariq_Aziz	2	6
Len_Jenoff	1	2
Leonid_Kuchma	6	3
Chuck_Yeager	1	2
Frank_Griswold	2	1
John_Taylor	2	1
Bulent_Ecevit	1	2
Kamal_Kharrazi	5	1
Joseph_Blatter	2	1
Kemal_Dervis	2	1
Trent_Lott	11	9
Larry_Bowa	1	2
George_Brumley	2	1
Zhang_Wenkang	1	2
Lord_Hutton	1	2
Choi_Sung-hong	3	2
Jeremy_Greenstock	4	20
Roger_Moore	5	1
Imad_Moustapha	2	1
Bertie_Ahern	2	3
Benjamin_Netanyahu	2	3
Phil_Gramm	1	2
Alvaro_Noboa	1	2
Steve_Spurrier	1	2
Chakib_Khelil	2	1
Warren_Buffett	1	2
Bill_Clinton	29	27
Edwin_Edwards	3	1
Tom_Harkin	1	2
Zhu_Rongji	7	8
Abel_Pacheco	3	4
Inocencio_Arias	2	1
Bill_Clinton	23	8
Mikhail_Gorbachev	2	1
Stellan_Skarsgard	1	2
Bulent_Ecevit	2	4
Carlos_Bianchi	2	1
James_Caan	1	3
Robert_Bullock	2	1
John_Bolton	13	17
Christopher_Walken	1	4
Kemal_Dervis	3	2
John_Rigas	1	2
Yasser_Arafat	8	3
Gao_Qiang	1	2
Al_Davis	2	1
George_Voinovich	2	1
Eddie_Sutton	2	1
Jong_Thae_Hwa	2	1
Dennis_Kozlowski	1	2
Nebojsa_Pavkovic	1	2
Dominique_de_Villepin	11	5
Leonid_Kuchma	2	3
Franz_Fischler	2	3
Jean-Pierre_Raffarin	3	1
Jon_Voight	1	2
Thomas_Wyman	1	2
Vanessa_Redgrave	3	5
Edmund_Hillary	3	2
Dick_Cheney	10	9
Rupert_Murdoch	2	1
Theodore_Tweed_Roosevelt	3	2
Franko_Simatovic	1	2
Fred_Eckhard	1	3
Tariq_Aziz	1	3
Carl_Reiner	2	1
Goran_Persson	1	2
Ferenc_Madl	2	1
Leon_LaPorte	1	2
Benjamin_Netanyahu	1	2
John_McCormack	2	1
Billy_Graham	1	2
Tariq_Aziz	1	5
John_Howard	16	19
Tim_Conway	2	3
John_Timoney	2	1
Mikhail_Wehbe	1	3
Walter_Mondale	7	10
Henrique_Meirelles	1	2
Ariel_Sharon	2	42
David_Stern	4	1
Robert_Blake	4	1
Arye_Mekel	1	2
Frank_Dunham_Jr	2	1
Prince_Willem-Alexander	3	1
Gary_Carter	3	1
Arnold_Palmer	3	2
Jorge_Batlle	1	2
Thabo_Mbeki	2	5
Eduard_Shevardnadze	4	5
Dennis_Hastert	4	6
Paul_Hogan	2	1
Nelson_Mandela	3	1
Bill_Clinton	26	11
Frank_Cassell	3	2
Roger_Moore	1	2
Richard_Shelby	2	1
Warren_Buffett	1	3
Jean-Marc_de_La_Sabliere	1	2
Prince_Claus	3	4
Dennis_Hastert	4	2
Kieran_Prendergast	1	2
Sergio_Vieira_De_Mello	2	1
Kamal_Kharrazi	2	4
William_Martin	1	2
Jorge_Rodolfo_Canicoba_Corral	2	1
Yasser_Arafat	2	5
Omar_Sharif	3	1
Bill_Clinton	26	21
William_Bulger	1	2
Robert_De_Niro	3	1
Oleksandr_Moroz	2	1
Valery_Giscard_dEstaing	4	6
Paul_Wolfowitz	1	4
Vaclav_Klaus	1	2
Jack_Straw	7	10
Edmund_Stoiber	2	4
Jean-Claude_Juncker	1	2
Mohamed_Benaissa	2	1
Alexander_Downer	1	2
Chick_Hearn	3	1
John_McCain	4	5
Angelo_Reyes	3	1
Alan_Greenspan	3	2
Tony_Bennett	2	3
Joe_Lieberman	8	7
Gonzalo_Sanchez_de_Lozada	6	10
Ricardo_Lagos	13	6
Donald_Rumsfeld	73	112
James_Ivory	1	2
Valdas_Adamkus	1	2
Jose_Dirceu	2	1
Pedro_Malan	3	1
Toshihiko_Fukui	3	2
Vanessa_Redgrave	4	1
Richard_Myers	1	5
Gerhard_Schroeder	94	43
David_Anderson	1	4
Woody_Allen	4	3
David_Anderson	1	2
Prince_Claus	1	4
Robert_Duvall	6	5
William_Bulger	3	4
Robert_Duvall	2	5
Richie_Adubato	2	1
John_Paul_II	5	9
Inam-ul-Haq	2	1
Jay_Rasulo	2	1
Sean_OKeefe	3	2
James_Caan	3	2
Kamal_Kharrazi	4	3
Bo_Ryan	2	1
Alvaro_Noboa	3	2
Tim_Conway	2	1
LK_Advani	1	2
Fernando_Henrique_Cardoso	5	6
Chris_Cooper	1	2
Tom_Harkin	5	3
Dominique_de_Villepin	13	7
Dave_Campo	3	1
Rafael_Ramirez	1	3
Enrique_Bolanos	1	4
Glafcos_Clerides	3	1
Tariq_Aziz	3	2
Augusto_Pinochet	1	2
Phan_Van_Khai	1	3
John_McCain	2	4
Alberto_Fujimori	1	2
Carlo_Ancelotti	1	2
Gerhard_Schroeder	104	17
Ariel_Sharon	7	9
Tom_Craddick	4	1
Ian_McKellen	2	1
Fred_Thompson	3	2
Nick_Nolte	2	4
Paul_Sarbanes	3	1
John_Bolton	8	17
Choi_Sung-hong	5	4
Manfred_Stolpe	2	1
Colin_Powell	194	223
Kim_Yong-il	3	2
Trent_Lott	11	12
Bill_Clinton	11	1
Jiang_Zemin	18	12
Kemal_Dervis	3	1
Abel_Pacheco	4	2
Dominique_de_Villepin	5	9
John_Howard	12	2
Ariel_Sharon	32	77
Frank_Cassell	1	3
Omar_Sharif	3	4
James_Traficant	3	2
Paul_ONeill	1	7
Gonzalo_Sanchez_de_Lozada	6	9
Miroljub	2	1
Dick_Cheney	8	14
Doug_Collins	1	2
Angelo_Reyes	1	4
Edmund_Stoiber	10	5
Michael_Caine	1	3
Kamal_Kharrazi	5	3
Sergio_Vieira_De_Mello	4	9
Bob_Graham	5	3
Alexander_Downer	1	3
Eduard_Shevardnadze	3	4
John_McCallum	1	2
Jack_Straw	5	7
Choi_Sung-hong	2	5
Paul_Martin	6	5
Hans_Blix	25	4
Steve_Ballmer	3	1
Robert_Duvall	2	1
Tom_Harkin	4	1
Ronald_Reagan	2	3
Bill_Nelson	1	2
Ariel_Sharon	2	66
Guido_Westerwelle	2	1
