10	500
Bill_Nelson	2	1
Elijah_Wood	1	2
John_Brady	1	2
Wolfgang_Schuessel	1	4
Tom_Harkin	4	2
Ian_Thorpe	3	2
Kristanna_Loken	5	3
Hee-Won_Han	1	2
JJ_Redick	2	1
Doris_Schroeder	1	3
Wayne_Gretzky	3	1
John_Snow	2	9
Julianna_Margulies	2	1
Paul_Burrell	6	10
Andrew_Weissmann	3	1
Lucio_Gutierrez	10	12
Russell_Crowe	2	1
Prince_Edward	1	2
Jon_Voight	3	2
Keira_Knightley	2	1
Iva_Majoli	2	1
Ali_Naimi	4	2
Oscar_De_La_Hoya	4	5
Mohammad_Khatami	9	6
Jon_Corzine	2	3
Bill_Callahan	2	3
Choi_Sung-hong	5	4
Sadie_Frost	3	1
Alec_Baldwin	2	3
Augustin_Calleri	3	4
Diane_Green	2	1
Eunice_Barber	2	1
Fran_Drescher	1	2
Aaron_Peirsol	3	4
Elinor_Caplan	2	1
Jose_Serra	4	6
Mahathir_Mohamad	2	13
Tom_Coverdale	2	1
Jim_OBrien	1	3
Iban_Mayo	1	2
Robby_Ginepri	2	1
Queen_Elizabeth_II	2	4
Joe_Calzaghe	2	1
Larry_Lindsey	1	2
Xavier_Malisse	5	4
Justin_Leonard	4	1
Rob_Schneider	1	2
Phil_Gramm	2	1
Kevin_Costner	7	3
Jane_Fonda	1	2
Azra_Akin	4	1
Carlos_Moya	13	14
Liam_Neeson	2	1
Dolma_Tsering	2	1
Abel_Pacheco	3	2
Chita_Rivera	1	2
George_W_Bush	112	487
Patrice_Chereau	1	2
Anneli_Jaatteenmaki	1	2
Dennis_Erickson	2	1
Alan_Mulally	1	2
Sophia_Loren	6	2
Tom_Jones	2	1
Michelle_Rodriguez	1	2
Jimmy_Carter	3	9
Wesley_Clark	1	2
Christopher_Walken	2	1
Edwina_Currie	2	3
Boris_Yeltsin	1	2
Michael_Jackson	5	6
Margaret_Thatcher	2	1
Jim_Carrey	3	2
Don_Siegelman	4	2
Jay_Leno	3	1
Ai_Sugiyama	5	2
Kirk_Ferentz	1	2
Lee_Soo-hyuck	2	3
Kelli_White	1	2
Bode_Miller	1	2
Liu_Mingkang	2	1
Richard_Gere	10	6
William_Rehnquist	2	1
Kathleen_Kennedy_Townsend	2	3
Hipolito_Mejia	3	1
Jack_Grubman	1	2
Diana_Munz	3	2
Constance_Marie	3	2
Ahmad_Masood	1	2
Jennifer_Aniston	15	7
Jose_Manuel_Durao_Barroso	5	1
Padraig_Harrington	3	2
Mel_Gibson	1	2
Anders_Ebbeson	2	3
Jennifer_Connelly	1	4
Angelo_Reyes	4	2
Steven_Spielberg	3	1
Kenneth_Evans	2	1
Brian_Cowen	2	1
Jessica_Alba	2	1
Sourav_Ganguly	5	2
Pascal_Lamy	2	1
Ai_Sugiyama	5	1
Silvio_Berlusconi	14	6
Alvaro_Silva_Calderon	3	2
Petro_Symonenko	1	2
Sophia_Loren	6	1
Wang_Yi	1	2
Ariel_Sharon	44	26
Ray_Romano	5	9
Angelo_Reyes	1	4
Mohammad_Khatami	4	1
Scott_Peterson	4	3
Oxana_Fedorova	1	3
Arianna_Huffington	3	1
James_Traficant	1	3
Javier_Solana	8	3
Bridgette_Wilson-Sampras	2	1
Kamal_Kharrazi	1	2
David_Myers	2	1
Iain_Duncan_Smith	4	3
Ian_McKellen	3	2
Yasar_Yakis	4	2
Augusto_Roa_Bastos	2	1
Martin_Hoellwarth	2	1
Adrian_McPherson	1	2
Taha_Yassin_Ramadan	7	3
Leonid_Kuchma	4	2
Harry_Belafonte	2	1
Cyndi_Thompson	2	1
Fernando_Henrique_Cardoso	7	2
Mike_Martz	1	2
Charles_Taylor	3	6
Milo_Maestrecampo	2	1
Corinne_Coman	2	1
Paul_Martin	2	3
Hugh_Grant	5	7
Clay_Aiken	4	1
Paul_Martin	5	4
Mariangel_Ruiz_Torrealba	3	2
Mariangel_Ruiz_Torrealba	2	1
Habib_Rizieq	4	1
Neri_Marcore	2	1
Sean_OKeefe	1	4
Jackie_Chan	4	2
Chung_Mong-hun	2	1
Toshihiko_Fukui	3	1
Celine_Dion	7	3
Rudolph_Giuliani	21	25
Abdullah_Gul	12	3
David_Wells	3	6
John_Manley	3	4
Maria_Shriver	7	5
Erin_Runnion	3	1
Steve_Park	2	1
Claire_Danes	1	2
Noah_Wyle	1	3
Jiang_Zemin	18	13
Yoriko_Kawaguchi	11	14
Melissa_Etheridge	2	1
Joan_Claybrook	2	1
Paul_McCartney	6	3
Stephen_Friedman	1	2
Amanda_Beard	2	1
Jim_Tressel	1	2
Sila_Calderon	1	2
Pervez_Musharraf	16	1
Hector_Babenco	3	1
Hugh_Grant	7	9
Ricardo_Maduro	2	1
Coretta_Scott_King	1	2
Francisco_Flores	1	3
Jim_Edmonds	2	1
Tubby_Smith	2	3
Paul_Bremer	12	15
Owen_Wilson	2	1
Eve_Pelletier	1	2
Mian_Khursheed_Mehmood_Kasuri	3	1
Paul_Byrd	1	2
Marty_Mornhinweg	1	2
Franco_Dragone	2	1
Terje_Roed-Larsen	1	2
David_Trimble	3	2
Tim_Henman	2	9
Manuel_Poggiali	1	2
Ben_Glisan	1	2
Larry_Bowa	2	1
Amanda_Bynes	2	4
Robert_Fico	2	1
Kim_Dae-jung	2	7
Edie_Falco	1	2
Gary_Williams	1	2
Jean-Claude_Juncker	2	1
Garry_Kasparov	2	1
Julianne_Moore	6	8
Sharon_Stone	1	3
Cristina_Fernandez	1	2
Natalie_Cole	1	3
Sophia_Loren	7	1
Munir_Akram	2	1
Mohamed_ElBaradei	8	7
Larry_Ellison	3	1
George_Karl	2	1
Jeb_Bush	6	3
George_Voinovich	3	2
Bob_Huggins	1	3
Richard_Branson	2	1
Bobby_Goldwater	1	2
Keanu_Reeves	5	11
Frank_Dunham_Jr	1	2
Carol_Moseley_Braun	1	2
Sila_Calderon	1	3
Paradorn_Srichaphan	2	8
George_Pataki	3	2
Tracy_McGrady	1	2
Donna_Shalala	1	2
Gary_Winnick	2	1
Richard_Virenque	4	2
Miroljub	1	2
Al_Davis	1	2
Luiz_Inacio_Lula_da_Silva	1	39
Barry_Zito	1	2
Bo_Pelini	1	2
Sharon_Davis	2	1
Carlos_Quintanilla_Schmidt	1	2
Anders_Fogh_Rasmussen	2	1
Kobe_Bryant	2	1
Patti_Labelle	1	3
Latrell_Sprewell	1	2
Paula_Radcliffe	5	4
Lindsay_Davenport	10	19
Peter_Harrison	2	1
Tippi_Hedren	2	1
Gloria_Allred	2	1
Adolfo_Aguilar_Zinser	3	1
Doris_Roberts	2	3
Gwyneth_Paltrow	5	2
Chanda_Rubin	4	5
Bill_Graham	7	5
William_Bulger	2	3
Mark_Richt	2	1
Bill_Gates	16	4
Peter_Greenaway	1	2
Tommy_Haas	6	4
Nicolas_Cage	2	4
Franz_Beckenbauer	2	1
Ernie_Els	4	3
Michelle_Collins	1	2
Arye_Mekel	2	1
John_McCallum	2	1
Sachiko_Yamada	1	3
Yukiko_Okudo	2	1
Tom_Watson	2	1
Matt_Doherty	1	2
Fernando_Henrique_Cardoso	7	5
Abdullah_Gul	17	9
Hitomi_Soga	1	4
Robert_DeFraites	1	2
Yasser_Arafat	6	4
Mark_Geragos	2	1
Martin_McCauley	2	1
Ilan_Ramon	2	3
Diana_Munz	1	3
James_Traficant	3	2
Susilo_Bambang_Yudhoyono	2	3
Christopher_Reeve	1	4
Hans_Blix	29	12
Nicole_Kidman	4	13
Lim_Dong-won	1	2
Jackie_Chan	5	6
Wen_Jiabao	7	11
Fred_Eckhard	3	1
Priscilla_Presley	1	2
Orlando_Bloom	1	3
Bob_Beauprez	2	1
David_Caraway	2	1
Elena_Bovina	2	1
Paul_Tagliabue	1	3
Gisele_Bundchen	1	2
Donald_Pettit	2	1
Sachiko_Yamada	1	2
Darren_Clarke	2	1
Edmund_Stoiber	2	7
John_Negroponte	7	10
