10	500
Chung_Mong-hun	2	1
Vaclav_Klaus	2	1
Bill_McBride	6	9
Emmanuelle_Beart	2	1
Jean_Chretien	51	33
Joerg_Haider	1	2
Mitoji_Yabunaka	2	1
Cameron_Diaz	4	2
Jose_Serra	9	2
Thaksin_Shinawatra	4	6
Pedro_Almodovar	1	5
Isabella_Rossellini	3	2
Jia_Qinglin	2	1
Cameron_Diaz	6	1
Erin_Runnion	1	3
Jeffrey_Immelt	1	2
Coretta_Scott_King	3	1
Fabrice_Santoro	1	2
Tom_Harkin	5	1
Paul_Martin	4	1
Jake_Gyllenhaal	4	2
Michael_Kostelnik	1	2
Chita_Rivera	1	2
Raymond_Odierno	1	2
Daniel_Radcliffe	1	3
Holly_Hunter	5	3
Mario_Dumont	2	1
Richard_Krajicek	1	2
Marlene_Weingartner	2	1
James_Kopp	3	4
Nelson_Mandela	1	2
Mary_Tyler_Moore	1	2
Lee_Jun	1	2
Jay_Garner	4	3
Monica_Lewinsky	2	3
Ken_Watanabe	2	1
Nadia_Petrova	2	1
Gary_Locke	1	2
Chris_Rock	1	2
Tom_Crean	5	1
Flavia_Delaroli	1	2
Heidi_Fleiss	4	2
Ronald_Reagan	2	1
Heizo_Takenaka	1	4
Dennis_Kucinich	5	4
Candie_Kung	1	3
Leonid_Kuchma	1	2
Aron_Ralston	2	1
Gregory_Geoffroy	1	2
Damon_van_Dam	1	2
Paul_Sarbanes	2	1
Charles_Moose	11	9
Magdalena_Maleeva	2	1
Helen_Clark	3	4
Liam_Neeson	1	3
Garry_Trudeau	1	2
Robert_Duvall	7	3
Michael_Patrick_King	1	2
Jane_Fonda	2	1
Phil_Mickelson	2	1
Vanessa_Redgrave	1	4
Alan_Greenspan	5	2
Carol_Moseley_Braun	1	2
Jelena_Dokic	1	3
Carolyn_Dawn_Johnson	2	3
Li_Peng	1	5
Edmund_Hillary	1	2
Sourav_Ganguly	5	1
Paul_Sarbanes	3	2
Sheryl_Crow	2	1
Howard_Smith	2	1
Trent_Lott	6	5
Ernie_Fletcher	2	1
Iain_Duncan_Smith	2	4
Petro_Symonenko	2	1
Angelo_Reyes	3	1
Allyson_Felix	4	5
Bill_Frist	1	2
Martha_Lucia_Ramirez	4	2
Jackie_Chan	13	11
Ana_Guevara	1	2
Rod_Blagojevich	1	2
Bob_Stoops	2	1
Lynn_Redgrave	2	1
Erik_Morales	1	3
